noise,num_samples,strategy,count
2,50,"(0, 0, 0, 1, 0)",176
2,50,"(1, 0, 0, 1, 1)",200
2,50,"(0, 0, 1, 1, 1)",175
2,50,"(1, 0, 1, 1, 1)",188
2,50,"(0, 1, 0, 1, 0)",177
2,50,"(0, 1, 0, 1, 1)",200
2,50,"(1, 1, 0, 1, 1)",200
2,50,"(0, 0, 0, 0, 0)",67
2,50,"(1, 0, 0, 0, 0)",89
2,50,"(0, 0, 0, 0, 1)",65
2,50,"(1, 0, 0, 0, 1)",89
2,50,"(1, 0, 0, 1, 0)",190
2,50,"(0, 0, 0, 1, 1)",88
2,50,"(0, 0, 1, 0, 0)",68
2,50,"(1, 0, 1, 0, 0)",87
2,50,"(0, 0, 1, 0, 1)",70
2,50,"(1, 0, 1, 0, 1)",89
2,50,"(0, 0, 1, 1, 0)",175
2,50,"(1, 0, 1, 1, 0)",88
2,50,"(0, 1, 0, 0, 0)",88
2,50,"(1, 1, 0, 0, 0)",92
2,50,"(0, 1, 0, 0, 1)",88
2,50,"(1, 1, 0, 0, 1)",184
2,50,"(1, 1, 0, 1, 0)",92
2,50,"(0, 1, 1, 0, 0)",87
2,50,"(1, 1, 1, 0, 0)",65
2,50,"(0, 1, 1, 0, 1)",91
2,50,"(1, 1, 1, 0, 1)",87
2,50,"(0, 1, 1, 1, 0)",88
2,50,"(1, 1, 1, 1, 0)",66
2,50,"(0, 1, 1, 1, 1)",186
2,50,"(1, 1, 1, 1, 1)",91
2,100,"(0, 0, 0, 1, 0)",108
2,100,"(1, 0, 0, 1, 0)",112
2,100,"(1, 0, 0, 1, 1)",200
2,100,"(0, 0, 1, 1, 0)",107
2,100,"(0, 0, 1, 1, 1)",107
2,100,"(1, 0, 1, 1, 1)",111
2,100,"(1, 1, 0, 0, 1)",114
2,100,"(0, 1, 0, 1, 0)",115
2,100,"(0, 1, 0, 1, 1)",200
2,100,"(1, 1, 0, 1, 1)",200
2,100,"(0, 1, 1, 1, 1)",113
2,100,"(1, 0, 0, 0, 0)",67
2,100,"(1, 0, 1, 0, 0)",65
2,100,"(1, 0, 1, 0, 1)",69
2,100,"(0, 1, 0, 0, 0)",67
2,100,"(0, 1, 0, 0, 1)",65
2,100,"(0, 1, 1, 0, 1)",65
2,100,"(0, 0, 0, 0, 0)",43
2,100,"(0, 0, 0, 0, 1)",40
2,100,"(1, 0, 0, 0, 1)",65
2,100,"(0, 0, 0, 1, 1)",63
2,100,"(0, 0, 1, 0, 0)",43
2,100,"(0, 0, 1, 0, 1)",42
2,100,"(1, 0, 1, 1, 0)",65
2,100,"(1, 1, 0, 0, 0)",68
2,100,"(1, 1, 0, 1, 0)",65
2,100,"(0, 1, 1, 0, 0)",65
2,100,"(1, 1, 1, 0, 0)",38
2,100,"(1, 1, 1, 0, 1)",66
2,100,"(0, 1, 1, 1, 0)",66
2,100,"(1, 1, 1, 1, 0)",42
2,100,"(1, 1, 1, 1, 1)",69
2,150,"(1, 0, 0, 1, 1)",200
2,150,"(0, 1, 0, 1, 1)",200
2,150,"(1, 1, 0, 1, 1)",200
2,150,"(0, 0, 0, 0, 0)",33
2,150,"(1, 0, 0, 0, 0)",58
2,150,"(0, 0, 0, 0, 1)",33
2,150,"(1, 0, 0, 0, 1)",55
2,150,"(0, 0, 0, 1, 0)",89
2,150,"(1, 0, 0, 1, 0)",90
2,150,"(0, 0, 0, 1, 1)",54
2,150,"(0, 0, 1, 0, 0)",33
2,150,"(1, 0, 1, 0, 0)",56
2,150,"(0, 0, 1, 0, 1)",33
2,150,"(1, 0, 1, 0, 1)",55
2,150,"(0, 0, 1, 1, 0)",92
2,150,"(1, 0, 1, 1, 0)",54
2,150,"(0, 0, 1, 1, 1)",91
2,150,"(1, 0, 1, 1, 1)",89
2,150,"(0, 1, 0, 0, 0)",58
2,150,"(1, 1, 0, 0, 0)",57
2,150,"(0, 1, 0, 0, 1)",58
2,150,"(1, 1, 0, 0, 1)",92
2,150,"(0, 1, 0, 1, 0)",90
2,150,"(1, 1, 0, 1, 0)",58
2,150,"(0, 1, 1, 0, 0)",54
2,150,"(1, 1, 1, 0, 0)",33
2,150,"(0, 1, 1, 0, 1)",57
2,150,"(1, 1, 1, 0, 1)",56
2,150,"(0, 1, 1, 1, 0)",55
2,150,"(1, 1, 1, 1, 0)",33
2,150,"(0, 1, 1, 1, 1)",89
2,150,"(1, 1, 1, 1, 1)",57
2,200,"(0, 0, 0, 0, 0)",17
2,200,"(1, 0, 0, 0, 0)",42
2,200,"(0, 0, 0, 0, 1)",16
2,200,"(1, 0, 0, 0, 1)",41
2,200,"(0, 0, 0, 1, 0)",81
2,200,"(1, 0, 0, 1, 0)",82
2,200,"(0, 0, 0, 1, 1)",41
2,200,"(1, 0, 0, 1, 1)",189
2,200,"(0, 0, 1, 0, 0)",18
2,200,"(1, 0, 1, 0, 0)",41
2,200,"(0, 0, 1, 0, 1)",17
2,200,"(1, 0, 1, 0, 1)",39
2,200,"(0, 0, 1, 1, 0)",79
2,200,"(1, 0, 1, 1, 0)",38
2,200,"(0, 0, 1, 1, 1)",81
2,200,"(1, 0, 1, 1, 1)",80
2,200,"(0, 1, 0, 0, 0)",41
2,200,"(1, 1, 0, 0, 0)",42
2,200,"(0, 1, 0, 0, 1)",42
2,200,"(1, 1, 0, 0, 1)",80
2,200,"(0, 1, 0, 1, 0)",79
2,200,"(1, 1, 0, 1, 0)",42
2,200,"(0, 1, 0, 1, 1)",184
2,200,"(1, 1, 0, 1, 1)",200
2,200,"(0, 1, 1, 0, 0)",41
2,200,"(1, 1, 1, 0, 0)",17
2,200,"(0, 1, 1, 0, 1)",43
2,200,"(1, 1, 1, 0, 1)",42
2,200,"(0, 1, 1, 1, 0)",41
2,200,"(1, 1, 1, 1, 0)",16
2,200,"(0, 1, 1, 1, 1)",81
2,200,"(1, 1, 1, 1, 1)",42
2,250,"(1, 0, 0, 1, 1)",134
2,250,"(0, 1, 0, 1, 1)",138
2,250,"(1, 1, 0, 1, 1)",200
2,250,"(0, 0, 0, 1, 0)",64
