noise,delta,num_samples,num_trials,eps_mean,eps_lower,eps_upper
2,0.1,50,500,3.7509389704758926,3.5797062384784746,3.9221717024733107
2,0.1,100,500,2.544192908807023,2.424472538349702,2.6639132792643445
2,0.1,150,500,2.108498798130326,2.0146528207335455,2.202344775527106
2,0.1,200,500,1.8647949801856958,1.7737658753332848,1.9558240850381068
2,0.1,250,500,1.632744876492885,1.5601165012652212,1.7053732517205487
2,0.1,300,500,1.5059565009118479,1.4381105580020783,1.5738024438216174
2,0.1,350,500,1.3357642929358853,1.279155651265369,1.3923729346064015
2,0.1,400,500,1.3671780304714116,1.303211840602974,1.4311442203398492
2,0.1,450,500,1.2339846523731834,1.180171456463295,1.2877978482830719
2,0.1,500,500,1.1232000124516959,1.072393231047247,1.1740067938561447
5,0.1,50,500,4.677206421915559,4.502376238838645,4.852036604992474
5,0.1,100,500,3.358227119614216,3.2332510596128268,3.4832031796156055
5,0.1,150,500,2.634008136936056,2.5301334410805634,2.7378828327915485
5,0.1,200,500,2.3342655097929,2.2449556256192955,2.423575393966505
5,0.1,250,500,2.0756108942462053,1.998636129137183,2.1525856593552275
5,0.1,300,500,1.9872092419026663,1.9134132749327406,2.0610052088725923
5,0.1,350,500,1.763418255875601,1.6951912668517441,1.831645244899458
5,0.1,400,500,1.6419113053383938,1.5776732145499899,1.7061493961267977
5,0.1,450,500,1.5118030062504946,1.4526200100755928,1.5709860024253963
5,0.1,500,500,1.4957070577015004,1.440212017403472,1.5512020979995287
10,0.1,50,500,6.723513227830709,6.53655953771101,6.910466917950407
10,0.1,100,500,4.828202907584582,4.6902794451328935,4.96612637003627
10,0.1,150,500,3.9021775593879364,3.7896462328169522,4.014708885958921
10,0.1,200,500,3.3218303966898493,3.2362449078999305,3.407415885479768
10,0.1,250,500,3.0067122843529175,2.9243897993350574,3.0890347693707776
10,0.1,300,500,2.711936319327654,2.633078674575628,2.7907939640796804
10,0.1,350,500,2.4549445002370587,2.387317867934728,2.5225711325393894
10,0.1,400,500,2.377829122724222,2.31037396087801,2.4452842845704343
10,0.1,450,500,2.1892261079240614,2.1314688308387284,2.2469833850093943
10,0.1,500,500,2.1191035266943925,2.0606187845836113,2.1775882688051738
