algo,noise,num_samples,strategy,count
RC,2,50,"(0, 0, 0, 0, 0, 1)",25
RC,2,50,"(1, 0, 0, 0, 0, 1)",17
RC,2,50,"(0, 0, 0, 0, 1, 0)",100
RC,2,50,"(1, 0, 0, 0, 1, 0)",17
RC,2,50,"(1, 0, 0, 0, 1, 1)",57
RC,2,50,"(0, 0, 0, 1, 0, 0)",34
RC,2,50,"(1, 0, 0, 1, 0, 0)",46
RC,2,50,"(0, 0, 0, 1, 0, 1)",23
RC,2,50,"(1, 0, 0, 1, 0, 1)",67
RC,2,50,"(1, 0, 1, 0, 1, 0)",37
RC,2,50,"(1, 0, 1, 0, 1, 1)",38
RC,2,50,"(0, 0, 1, 1, 0, 0)",28
RC,2,50,"(1, 0, 1, 1, 0, 0)",57
RC,2,50,"(0, 0, 1, 1, 0, 1)",21
RC,2,50,"(1, 0, 1, 1, 0, 1)",52
RC,2,50,"(0, 0, 1, 1, 1, 0)",100
RC,2,50,"(0, 1, 0, 0, 0, 0)",59
RC,2,50,"(1, 1, 0, 0, 0, 0)",100
RC,2,50,"(0, 1, 0, 0, 0, 1)",29
RC,2,50,"(1, 1, 0, 0, 0, 1)",82
RC,2,50,"(1, 1, 0, 0, 1, 0)",58
RC,2,50,"(0, 1, 0, 1, 0, 0)",100
RC,2,50,"(0, 1, 0, 1, 1, 0)",22
RC,2,50,"(1, 1, 0, 1, 1, 0)",97
RC,2,50,"(0, 1, 0, 1, 1, 1)",63
RC,2,50,"(1, 1, 1, 0, 0, 0)",19
RC,2,50,"(0, 1, 1, 0, 1, 0)",21
RC,2,50,"(1, 1, 1, 0, 1, 0)",32
RC,2,50,"(0, 1, 1, 0, 1, 1)",67
RC,2,50,"(1, 1, 1, 0, 1, 1)",83
RC,2,50,"(1, 1, 1, 1, 0, 0)",20
RC,2,50,"(0, 1, 1, 1, 0, 1)",57
RC,2,50,"(1, 1, 1, 1, 0, 1)",22
RC,2,50,"(0, 1, 1, 1, 1, 0)",36
RC,2,50,"(1, 1, 1, 1, 1, 0)",68
RC,2,50,"(1, 1, 1, 1, 1, 1)",54
RC,2,50,"(1, 0, 0, 0, 0, 0)",5
RC,2,50,"(1, 0, 0, 1, 1, 1)",14
RC,2,50,"(1, 0, 1, 1, 1, 0)",7
RC,2,50,"(0, 0, 1, 1, 1, 1)",8
RC,2,50,"(1, 0, 1, 1, 1, 1)",5
RC,2,50,"(1, 1, 0, 0, 1, 1)",10
RC,2,50,"(0, 1, 0, 1, 0, 1)",14
RC,2,50,"(0, 1, 1, 0, 0, 1)",13
RC,2,50,"(0, 1, 1, 1, 0, 0)",14
RC,2,50,"(0, 0, 0, 0, 1, 1)",3
RC,2,50,"(0, 0, 0, 1, 1, 0)",3
RC,2,50,"(1, 0, 0, 1, 1, 0)",3
RC,2,50,"(0, 0, 1, 0, 1, 0)",3
RC,2,50,"(1, 1, 1, 0, 0, 1)",3
RC,2,50,"(0, 1, 1, 1, 1, 1)",3
RC,2,50,"(0, 0, 0, 0, 0, 0)",1
