algo,noise,num_samples,strategy,count
RC,0,50,"(0, 0, 0, 1, 1, 0)",95
RC,0,50,"(0, 0, 1, 0, 1, 0)",95
RC,0,50,"(1, 0, 1, 0, 1, 0)",95
RC,0,50,"(0, 1, 0, 0, 1, 1)",100
RC,0,50,"(0, 1, 0, 1, 0, 0)",100
RC,0,50,"(0, 1, 0, 1, 1, 1)",100
RC,0,50,"(0, 0, 0, 1, 0, 0)",66
RC,0,50,"(0, 1, 0, 0, 0, 0)",66
RC,0,50,"(1, 1, 0, 0, 1, 1)",66
RC,0,50,"(1, 1, 1, 0, 0, 1)",66
RC,0,50,"(0, 1, 1, 0, 1, 0)",66
RC,0,50,"(0, 1, 1, 1, 0, 1)",66
RC,0,50,"(1, 0, 0, 0, 0, 0)",52
RC,0,50,"(1, 0, 0, 1, 1, 1)",52
RC,0,50,"(0, 0, 1, 1, 0, 1)",52
RC,0,50,"(1, 1, 1, 0, 1, 0)",52
RC,0,50,"(0, 0, 0, 0, 0, 0)",27
RC,0,50,"(1, 0, 0, 0, 1, 0)",27
RC,0,50,"(0, 0, 0, 0, 1, 1)",38
RC,0,50,"(1, 0, 0, 0, 1, 1)",38
RC,0,50,"(0, 0, 1, 0, 0, 0)",38
RC,0,50,"(0, 0, 1, 1, 1, 0)",38
RC,0,50,"(1, 1, 0, 0, 0, 0)",27
RC,0,50,"(1, 1, 0, 0, 0, 1)",27
RC,0,50,"(1, 1, 0, 0, 1, 0)",38
RC,0,50,"(1, 1, 0, 1, 1, 1)",27
RC,0,50,"(0, 1, 1, 0, 1, 1)",27
RC,0,50,"(1, 1, 1, 0, 1, 1)",27
RC,0,50,"(1, 1, 1, 1, 0, 1)",27
RC,0,50,"(1, 1, 1, 1, 1, 0)",38
RC,0,50,"(0, 1, 1, 1, 1, 1)",38
RC,0,50,"(0, 0, 0, 0, 0, 1)",10
RC,0,50,"(0, 0, 0, 0, 1, 0)",10
RC,0,50,"(0, 0, 0, 1, 0, 1)",19
RC,0,50,"(0, 0, 0, 1, 1, 1)",19
RC,0,50,"(1, 0, 1, 0, 0, 0)",19
RC,0,50,"(0, 0, 1, 0, 0, 1)",19
RC,0,50,"(1, 0, 1, 0, 0, 1)",19
RC,0,50,"(0, 0, 1, 1, 0, 0)",19
RC,0,50,"(1, 0, 1, 1, 0, 0)",10
RC,0,50,"(0, 0, 1, 1, 1, 1)",10
RC,0,50,"(1, 0, 1, 1, 1, 1)",19
RC,0,50,"(0, 1, 0, 0, 1, 0)",19
RC,0,50,"(1, 1, 0, 1, 1, 0)",10
RC,0,50,"(0, 1, 1, 0, 0, 0)",19
RC,0,50,"(1, 1, 1, 0, 0, 0)",10
RC,0,50,"(1, 1, 1, 1, 0, 0)",19
RC,0,50,"(1, 1, 1, 1, 1, 1)",19
RC,0,50,"(1, 0, 0, 0, 0, 1)",4
RC,0,50,"(1, 0, 0, 1, 0, 1)",4
RC,0,50,"(0, 0, 1, 0, 1, 1)",4
RC,0,50,"(0, 1, 0, 0, 0, 1)",4
RC,0,50,"(0, 1, 0, 1, 1, 0)",4
RC,0,50,"(1, 0, 0, 1, 0, 0)",3
RC,0,50,"(1, 0, 0, 1, 1, 0)",3
RC,0,50,"(1, 0, 1, 0, 1, 1)",3
RC,0,50,"(1, 0, 1, 1, 1, 0)",3
RC,0,50,"(1, 1, 0, 1, 0, 0)",3
RC,0,50,"(0, 1, 1, 0, 0, 1)",3
RC,0,50,"(1, 0, 1, 1, 0, 1)",1
RC,0,50,"(0, 1, 0, 1, 0, 1)",1
RC,0,50,"(1, 1, 0, 1, 0, 1)",1
RC,0,50,"(0, 1, 1, 1, 0, 0)",1
RC,0,50,"(0, 1, 1, 1, 1, 0)",1
RC,0,100,"(0, 0, 0, 1, 0, 0)",46
RC,0,100,"(0, 0, 0, 1, 1, 0)",61
RC,0,100,"(0, 0, 1, 0, 1, 0)",78
RC,0,100,"(1, 0, 1, 0, 1, 0)",61
