algo,noise,delta,num_samples,num_trials,num_nash_mean,num_nash_lower,num_nash_upper,eps_mean,eps_lower,eps_upper
RC,0,0.1,50,100,19.83,16.712380304854197,22.9476196951458,3.562967112015376,3.1881789819007733,3.937755242129979
RC,0,0.1,100,100,10.59,8.681152624807138,12.498847375192861,2.3680329835394223,2.1089127663149636,2.627153200763881
RC,0,0.1,150,100,6.96,5.853285408754477,8.066714591245523,1.8245242107077075,1.6413320426874183,2.007716378727997
RC,0,0.1,200,100,6.29,5.2671825219849,7.3128174780151,1.661655509136756,1.4920103149044213,1.8313007033690907
RC,0,0.1,250,100,5.31,4.468784761947182,6.151215238052817,1.493388152722253,1.3381836859515632,1.6485926194929428
RC,0,0.1,300,100,4.21,3.618894927512553,4.801105072487447,1.284097222956393,1.155027186329902,1.413167259582884
RC,0,0.1,350,100,4.15,3.6428460913418435,4.657153908658158,1.278136444073621,1.1612355617661925,1.3950373263810494
RC,0,0.1,400,100,3.73,3.327331886461195,4.132668113538805,1.1710453852804787,1.064196035116669,1.2778947354442884
RC,0,0.1,450,100,3.64,3.2155370065025988,4.0644629934974015,1.1406182584063478,1.031629455950392,1.2496070608623036
RC,0,0.1,500,100,3.68,3.2056622624864444,4.154337737513556,1.1121028129009165,0.9950622212522005,1.2291434045496326
HF,0,0.1,50,100,2.0,2.0,2.0,0.59820982359509,0.59820982359509,0.59820982359509
HF,0,0.1,100,100,2.0,2.0,2.0,0.4229982228364965,0.4229982228364965,0.4229982228364965
HF,0,0.1,150,100,2.0,2.0,2.0,0.3453766026845038,0.3453766026845038,0.3453766026845038
HF,0,0.1,200,100,2.0,2.0,2.0,0.299104911797545,0.299104911797545,0.299104911797545
HF,0,0.1,250,100,1.0,1.0,1.0,0.26752756607335565,0.26752756607335565,0.26752756607335565
HF,0,0.1,300,100,1.0,1.0,1.0,0.24421813782138455,0.24421813782138455,0.24421813782138455
HF,0,0.1,350,100,1.0,1.0,1.0,0.2261020607240609,0.22610206072406086,0.22610206072406092
HF,0,0.1,400,100,1.0,1.0,1.0,0.21149911141824826,0.21149911141824826,0.21149911141824826
HF,0,0.1,450,100,0.0,0.0,0.0,0.19940327453169668,0.19940327453169668,0.19940327453169668
HF,0,0.1,500,100,0.0,0.0,0.0,0.18917055612480194,0.1891705561248019,0.18917055612480196
