noise,num_samples,strategy,count
2,50,"(1, 0, 0, 1)",2
2,50,"(0, 0, 1, 0)",2
2,50,"(1, 0, 1, 1)",2
2,50,"(1, 1, 1, 0)",2
2,50,"(1, 0, 1, 0)",1
2,50,"(0, 0, 1, 1)",1
2,100,"(1, 0, 0, 1)",2
2,100,"(0, 0, 1, 0)",2
2,100,"(1, 0, 1, 1)",2
2,100,"(1, 1, 1, 0)",2
2,100,"(1, 0, 1, 0)",1
2,100,"(0, 0, 1, 1)",1
2,100,"(0, 1, 0, 0)",1
2,100,"(0, 1, 1, 1)",1
2,150,"(1, 0, 0, 1)",2
2,150,"(0, 0, 1, 0)",2
2,150,"(1, 0, 1, 1)",2
2,150,"(1, 1, 1, 0)",2
2,200,"(1, 0, 0, 1)",1
2,200,"(0, 0, 1, 0)",2
2,200,"(1, 0, 1, 1)",2
2,200,"(1, 1, 1, 0)",2
2,250,"(0, 0, 1, 0)",2
2,250,"(1, 0, 0, 1)",1
2,250,"(1, 0, 1, 1)",1
2,250,"(1, 1, 1, 0)",1
2,300,"(1, 0, 0, 1)",2
2,300,"(0, 0, 1, 0)",2
2,300,"(1, 0, 1, 1)",2
2,300,"(1, 1, 1, 0)",2
2,350,"(1, 0, 0, 1)",1
2,350,"(0, 0, 1, 0)",2
2,350,"(1, 0, 1, 1)",2
2,350,"(1, 1, 1, 0)",2
2,400,"(1, 0, 0, 1)",1
2,400,"(0, 0, 1, 0)",1
2,400,"(1, 0, 1, 1)",1
2,400,"(1, 1, 1, 0)",1
2,500,"(0, 0, 1, 0)",2
2,500,"(1, 0, 1, 1)",2
2,500,"(1, 1, 1, 0)",2
2,500,"(1, 0, 0, 1)",1
5,50,"(1, 0, 0, 0)",1
5,50,"(0, 0, 0, 1)",1
5,50,"(1, 0, 0, 1)",2
5,50,"(0, 0, 1, 0)",2
5,50,"(1, 0, 1, 0)",1
5,50,"(0, 0, 1, 1)",1
5,50,"(1, 0, 1, 1)",2
5,50,"(0, 1, 0, 0)",1
5,50,"(0, 1, 1, 0)",1
5,50,"(1, 1, 1, 0)",2
5,50,"(0, 1, 1, 1)",1
5,100,"(1, 0, 0, 1)",2
5,100,"(0, 0, 1, 0)",2
5,100,"(1, 0, 1, 1)",2
5,100,"(1, 1, 1, 0)",2
5,150,"(1, 0, 0, 1)",2
5,150,"(0, 0, 1, 0)",2
5,150,"(1, 0, 1, 0)",1
5,150,"(0, 0, 1, 1)",1
5,150,"(1, 0, 1, 1)",2
5,150,"(0, 1, 0, 0)",1
5,150,"(1, 1, 1, 0)",2
5,150,"(0, 1, 1, 1)",1
5,200,"(1, 0, 0, 1)",2
5,200,"(0, 0, 1, 0)",2
5,200,"(1, 0, 1, 1)",2
5,200,"(1, 1, 1, 0)",2
5,250,"(1, 0, 0, 1)",2
