algo,noise,num_samples,strategy,count
RC,2,50,"(0, 0, 0, 0, 0, 0, 0, 0, 1)",65
RC,2,50,"(0, 0, 0, 0, 0, 0, 1, 0, 0)",86
RC,2,50,"(1, 0, 0, 0, 0, 0, 1, 0, 1)",51
RC,2,50,"(1, 0, 0, 0, 0, 1, 0, 0, 1)",51
RC,2,50,"(1, 0, 0, 0, 0, 1, 0, 1, 0)",51
RC,2,50,"(1, 0, 0, 0, 0, 1, 0, 1, 1)",65
RC,2,50,"(1, 0, 0, 0, 1, 0, 0, 0, 0)",51
RC,2,50,"(1, 0, 0, 0, 1, 0, 0, 0, 1)",65
RC,2,50,"(0, 0, 0, 0, 1, 1, 1, 1, 1)",51
RC,2,50,"(1, 0, 0, 1, 0, 0, 0, 1, 0)",51
RC,2,50,"(0, 0, 0, 1, 1, 0, 0, 0, 1)",51
RC,2,50,"(1, 0, 0, 1, 1, 0, 1, 1, 1)",65
RC,2,50,"(1, 0, 0, 1, 1, 1, 0, 0, 1)",51
RC,2,50,"(0, 0, 1, 0, 0, 0, 1, 0, 0)",51
RC,2,50,"(0, 0, 1, 0, 0, 0, 1, 0, 1)",86
RC,2,50,"(1, 0, 1, 0, 0, 0, 1, 1, 1)",65
RC,2,50,"(1, 0, 1, 0, 1, 0, 1, 0, 1)",51
RC,2,50,"(1, 0, 1, 0, 1, 1, 1, 0, 0)",100
RC,2,50,"(1, 0, 1, 1, 0, 0, 0, 0, 1)",100
RC,2,50,"(1, 0, 1, 1, 0, 1, 1, 0, 1)",51
RC,2,50,"(1, 0, 1, 1, 1, 0, 0, 0, 0)",51
RC,2,50,"(0, 0, 1, 1, 1, 0, 0, 1, 0)",51
RC,2,50,"(0, 1, 0, 0, 0, 0, 1, 1, 0)",51
RC,2,50,"(0, 1, 0, 0, 0, 1, 0, 0, 0)",51
RC,2,50,"(1, 1, 0, 0, 0, 1, 0, 0, 1)",65
RC,2,50,"(0, 1, 0, 0, 0, 1, 1, 0, 0)",51
RC,2,50,"(1, 1, 0, 1, 0, 1, 0, 0, 0)",86
RC,2,50,"(0, 1, 0, 1, 0, 1, 0, 1, 0)",51
RC,2,50,"(1, 1, 0, 1, 0, 1, 0, 1, 1)",51
RC,2,50,"(1, 1, 0, 1, 0, 1, 1, 1, 1)",51
RC,2,50,"(1, 1, 0, 1, 1, 1, 1, 0, 1)",65
RC,2,50,"(1, 1, 1, 0, 0, 0, 1, 1, 0)",65
RC,2,50,"(0, 1, 1, 0, 1, 0, 1, 1, 1)",65
RC,2,50,"(0, 1, 1, 1, 0, 1, 1, 0, 1)",65
RC,2,50,"(0, 0, 0, 0, 0, 0, 0, 0, 0)",15
RC,2,50,"(1, 0, 0, 0, 0, 0, 0, 0, 1)",24
RC,2,50,"(1, 0, 0, 0, 0, 0, 0, 1, 0)",24
RC,2,50,"(0, 0, 0, 0, 0, 0, 1, 1, 0)",15
RC,2,50,"(0, 0, 0, 0, 0, 0, 1, 1, 1)",24
RC,2,50,"(0, 0, 0, 0, 0, 1, 0, 1, 0)",36
RC,2,50,"(1, 0, 0, 0, 0, 1, 1, 0, 0)",15
RC,2,50,"(0, 0, 0, 0, 0, 1, 1, 1, 0)",24
RC,2,50,"(0, 0, 0, 0, 1, 0, 0, 0, 0)",36
RC,2,50,"(1, 0, 0, 0, 1, 0, 0, 1, 0)",15
RC,2,50,"(0, 0, 0, 0, 1, 0, 0, 1, 1)",36
RC,2,50,"(0, 0, 0, 0, 1, 0, 1, 0, 0)",15
RC,2,50,"(1, 0, 0, 0, 1, 0, 1, 0, 0)",36
RC,2,50,"(1, 0, 0, 0, 1, 1, 0, 0, 0)",15
RC,2,50,"(1, 0, 0, 0, 1, 1, 0, 0, 1)",36
RC,2,50,"(0, 0, 0, 0, 1, 1, 0, 1, 0)",15
RC,2,50,"(0, 0, 0, 0, 1, 1, 1, 0, 1)",15
RC,2,50,"(1, 0, 0, 0, 1, 1, 1, 0, 1)",24
RC,2,50,"(1, 0, 0, 1, 0, 0, 0, 0, 0)",24
RC,2,50,"(0, 0, 0, 1, 0, 0, 1, 1, 1)",36
RC,2,50,"(1, 0, 0, 1, 0, 0, 1, 1, 1)",24
RC,2,50,"(0, 0, 0, 1, 0, 1, 0, 1, 0)",15
RC,2,50,"(0, 0, 0, 1, 0, 1, 1, 0, 1)",15
RC,2,50,"(1, 0, 0, 1, 0, 1, 1, 0, 1)",24
RC,2,50,"(1, 0, 0, 1, 0, 1, 1, 1, 0)",15
RC,2,50,"(0, 0, 0, 1, 1, 0, 0, 0, 0)",15
RC,2,50,"(0, 0, 0, 1, 1, 0, 1, 0, 0)",15
RC,2,50,"(0, 0, 0, 1, 1, 0, 1, 1, 0)",36
RC,2,50,"(1, 0, 0, 1, 1, 0, 1, 1, 0)",24
RC,2,50,"(0, 0, 0, 1, 1, 1, 0, 0, 0)",15
RC,2,50,"(1, 0, 0, 1, 1, 1, 0, 1, 0)",15
RC,2,50,"(0, 0, 0, 1, 1, 1, 0, 1, 1)",24
RC,2,50,"(0, 0, 1, 0, 0, 0, 0, 0, 1)",15
RC,2,50,"(1, 0, 1, 0, 0, 0, 0, 0, 1)",15
RC,2,50,"(1, 0, 1, 0, 0, 0, 1, 0, 0)",24
RC,2,50,"(1, 0, 1, 0, 0, 0, 1, 0, 1)",36
RC,2,50,"(1, 0, 1, 0, 0, 1, 0, 0, 1)",15
RC,2,50,"(0, 0, 1, 0, 0, 1, 0, 1, 0)",15
RC,2,50,"(0, 0, 1, 0, 0, 1, 0, 1, 1)",15
RC,2,50,"(1, 0, 1, 0, 0, 1, 1, 0, 0)",24
RC,2,50,"(1, 0, 1, 0, 0, 1, 1, 0, 1)",15
RC,2,50,"(1, 0, 1, 0, 0, 1, 1, 1, 0)",24
RC,2,50,"(0, 0, 1, 0, 1, 0, 0, 0, 0)",15
RC,2,50,"(1, 0, 1, 0, 1, 0, 0, 0, 0)",24
RC,2,50,"(1, 0, 1, 0, 1, 0, 0, 0, 1)",24
RC,2,50,"(1, 0, 1, 0, 1, 0, 1, 0, 0)",15
RC,2,50,"(0, 0, 1, 0, 1, 0, 1, 1, 1)",36
RC,2,50,"(1, 0, 1, 0, 1, 1, 0, 0, 0)",15
RC,2,50,"(0, 0, 1, 0, 1, 1, 0, 0, 1)",36
RC,2,50,"(1, 0, 1, 0, 1, 1, 0, 0, 1)",15
RC,2,50,"(1, 0, 1, 0, 1, 1, 0, 1, 0)",36
RC,2,50,"(0, 0, 1, 0, 1, 1, 1, 1, 1)",36
RC,2,50,"(1, 0, 1, 1, 0, 0, 0, 1, 0)",36
RC,2,50,"(1, 0, 1, 1, 0, 0, 0, 1, 1)",15
RC,2,50,"(1, 0, 1, 1, 0, 0, 1, 1, 0)",36
RC,2,50,"(0, 0, 1, 1, 0, 0, 1, 1, 1)",36
RC,2,50,"(0, 0, 1, 1, 0, 1, 0, 0, 0)",24
RC,2,50,"(1, 0, 1, 1, 0, 1, 0, 0, 0)",24
RC,2,50,"(1, 0, 1, 1, 0, 1, 0, 1, 0)",15
RC,2,50,"(1, 0, 1, 1, 0, 1, 0, 1, 1)",15
RC,2,50,"(0, 0, 1, 1, 0, 1, 1, 0, 0)",24
RC,2,50,"(0, 0, 1, 1, 0, 1, 1, 1, 1)",15
RC,2,50,"(1, 0, 1, 1, 1, 0, 1, 0, 1)",24
RC,2,50,"(0, 0, 1, 1, 1, 1, 0, 1, 1)",36
RC,2,50,"(1, 0, 1, 1, 1, 1, 1, 1, 1)",24
RC,2,50,"(0, 1, 0, 0, 0, 0, 0, 0, 0)",15
RC,2,50,"(0, 1, 0, 0, 0, 0, 0, 1, 1)",36
RC,2,50,"(1, 1, 0, 0, 0, 0, 0, 1, 1)",24
RC,2,50,"(0, 1, 0, 0, 0, 0, 1, 0, 1)",24
RC,2,50,"(0, 1, 0, 0, 0, 0, 1, 1, 1)",36
RC,2,50,"(1, 1, 0, 0, 0, 0, 1, 1, 1)",36
RC,2,50,"(1, 1, 0, 0, 0, 1, 0, 1, 1)",36
RC,2,50,"(1, 1, 0, 0, 0, 1, 1, 0, 0)",15
RC,2,50,"(1, 1, 0, 0, 0, 1, 1, 0, 1)",24
RC,2,50,"(1, 1, 0, 0, 0, 1, 1, 1, 0)",24
RC,2,50,"(1, 1, 0, 0, 1, 0, 0, 0, 1)",24
RC,2,50,"(0, 1, 0, 0, 1, 0, 0, 1, 0)",15
RC,2,50,"(1, 1, 0, 0, 1, 0, 0, 1, 0)",15
RC,2,50,"(0, 1, 0, 0, 1, 0, 0, 1, 1)",15
RC,2,50,"(0, 1, 0, 0, 1, 0, 1, 0, 0)",36
RC,2,50,"(1, 1, 0, 0, 1, 0, 1, 0, 0)",15
RC,2,50,"(1, 1, 0, 0, 1, 0, 1, 0, 1)",24
RC,2,50,"(0, 1, 0, 0, 1, 0, 1, 1, 0)",36
RC,2,50,"(0, 1, 0, 0, 1, 0, 1, 1, 1)",24
RC,2,50,"(0, 1, 0, 0, 1, 1, 0, 0, 1)",15
RC,2,50,"(1, 1, 0, 0, 1, 1, 0, 1, 1)",24
RC,2,50,"(0, 1, 0, 0, 1, 1, 1, 1, 1)",24
RC,2,50,"(0, 1, 0, 1, 0, 0, 1, 0, 0)",15
RC,2,50,"(0, 1, 0, 1, 0, 0, 1, 0, 1)",15
RC,2,50,"(0, 1, 0, 1, 0, 0, 1, 1, 0)",15
RC,2,50,"(1, 1, 0, 1, 0, 0, 1, 1, 0)",36
RC,2,50,"(0, 1, 0, 1, 0, 1, 0, 0, 0)",24
RC,2,50,"(1, 1, 0, 1, 0, 1, 0, 0, 1)",15
RC,2,50,"(0, 1, 0, 1, 0, 1, 1, 0, 0)",15
RC,2,50,"(1, 1, 0, 1, 0, 1, 1, 0, 0)",15
RC,2,50,"(1, 1, 0, 1, 0, 1, 1, 0, 1)",36
RC,2,50,"(0, 1, 0, 1, 0, 1, 1, 1, 0)",24
RC,2,50,"(0, 1, 0, 1, 0, 1, 1, 1, 1)",24
RC,2,50,"(1, 1, 0, 1, 1, 0, 1, 0, 0)",15
RC,2,50,"(1, 1, 0, 1, 1, 0, 1, 1, 0)",36
RC,2,50,"(1, 1, 0, 1, 1, 0, 1, 1, 1)",15
RC,2,50,"(1, 1, 0, 1, 1, 1, 0, 1, 0)",15
RC,2,50,"(0, 1, 0, 1, 1, 1, 1, 0, 0)",36
RC,2,50,"(1, 1, 0, 1, 1, 1, 1, 1, 0)",15
RC,2,50,"(0, 1, 0, 1, 1, 1, 1, 1, 1)",15
RC,2,50,"(1, 1, 0, 1, 1, 1, 1, 1, 1)",36
RC,2,50,"(1, 1, 1, 0, 0, 0, 0, 0, 0)",15
RC,2,50,"(0, 1, 1, 0, 0, 0, 0, 0, 1)",15
RC,2,50,"(1, 1, 1, 0, 0, 0, 0, 0, 1)",24
RC,2,50,"(1, 1, 1, 0, 0, 0, 0, 1, 1)",15
RC,2,50,"(0, 1, 1, 0, 0, 0, 1, 1, 1)",36
RC,2,50,"(1, 1, 1, 0, 0, 1, 0, 0, 0)",15
RC,2,50,"(0, 1, 1, 0, 0, 1, 0, 0, 1)",15
RC,2,50,"(1, 1, 1, 0, 0, 1, 0, 0, 1)",15
RC,2,50,"(0, 1, 1, 0, 0, 1, 0, 1, 0)",36
RC,2,50,"(1, 1, 1, 0, 0, 1, 1, 0, 0)",36
RC,2,50,"(0, 1, 1, 0, 1, 0, 0, 1, 0)",36
RC,2,50,"(0, 1, 1, 0, 1, 0, 0, 1, 1)",15
RC,2,50,"(1, 1, 1, 0, 1, 0, 1, 0, 0)",24
RC,2,50,"(0, 1, 1, 0, 1, 0, 1, 0, 1)",24
RC,2,50,"(0, 1, 1, 0, 1, 0, 1, 1, 0)",15
RC,2,50,"(0, 1, 1, 0, 1, 1, 0, 0, 0)",24
RC,2,50,"(1, 1, 1, 0, 1, 1, 0, 0, 1)",15
RC,2,50,"(1, 1, 1, 0, 1, 1, 0, 1, 0)",15
RC,2,50,"(0, 1, 1, 0, 1, 1, 0, 1, 1)",24
RC,2,50,"(1, 1, 1, 0, 1, 1, 0, 1, 1)",15
RC,2,50,"(1, 1, 1, 0, 1, 1, 1, 0, 0)",15
RC,2,50,"(1, 1, 1, 0, 1, 1, 1, 0, 1)",15
RC,2,50,"(0, 1, 1, 0, 1, 1, 1, 1, 1)",36
RC,2,50,"(1, 1, 1, 0, 1, 1, 1, 1, 1)",24
RC,2,50,"(1, 1, 1, 1, 0, 0, 0, 0, 0)",36
RC,2,50,"(0, 1, 1, 1, 0, 0, 0, 1, 0)",24
RC,2,50,"(0, 1, 1, 1, 0, 0, 1, 0, 0)",15
RC,2,50,"(0, 1, 1, 1, 0, 0, 1, 0, 1)",36
RC,2,50,"(1, 1, 1, 1, 0, 1, 0, 0, 1)",15
RC,2,50,"(0, 1, 1, 1, 0, 1, 0, 1, 0)",36
RC,2,50,"(0, 1, 1, 1, 0, 1, 0, 1, 1)",36
RC,2,50,"(1, 1, 1, 1, 0, 1, 1, 0, 0)",36
RC,2,50,"(0, 1, 1, 1, 0, 1, 1, 1, 0)",24
RC,2,50,"(1, 1, 1, 1, 1, 0, 0, 1, 0)",36
RC,2,50,"(0, 1, 1, 1, 1, 0, 0, 1, 1)",24
RC,2,50,"(0, 1, 1, 1, 1, 0, 1, 1, 0)",15
RC,2,50,"(0, 1, 1, 1, 1, 1, 0, 1, 0)",15
RC,2,50,"(1, 1, 1, 1, 1, 1, 0, 1, 0)",24
RC,2,50,"(0, 1, 1, 1, 1, 1, 0, 1, 1)",24
RC,2,50,"(1, 1, 1, 1, 1, 1, 0, 1, 1)",24
RC,2,50,"(1, 1, 1, 1, 1, 1, 1, 0, 1)",24
RC,2,50,"(0, 1, 1, 1, 1, 1, 1, 1, 0)",15
RC,2,50,"(0, 1, 1, 1, 1, 1, 1, 1, 1)",24
RC,2,50,"(1, 0, 0, 0, 0, 0, 0, 0, 0)",12
RC,2,50,"(1, 0, 0, 0, 0, 0, 1, 0, 0)",12
RC,2,50,"(1, 0, 0, 0, 0, 1, 0, 0, 0)",12
RC,2,50,"(1, 0, 0, 0, 0, 1, 1, 1, 1)",12
RC,2,50,"(0, 0, 0, 0, 1, 0, 0, 0, 1)",12
RC,2,50,"(0, 0, 0, 0, 1, 0, 1, 1, 0)",12
RC,2,50,"(0, 0, 0, 0, 1, 1, 1, 0, 0)",12
RC,2,50,"(1, 0, 0, 1, 0, 0, 0, 1, 1)",12
RC,2,50,"(0, 0, 0, 1, 0, 0, 1, 0, 0)",12
RC,2,50,"(0, 0, 0, 1, 0, 1, 0, 0, 0)",12
RC,2,50,"(1, 0, 0, 1, 0, 1, 0, 0, 0)",12
RC,2,50,"(0, 0, 0, 1, 0, 1, 0, 0, 1)",12
RC,2,50,"(1, 0, 0, 1, 0, 1, 1, 0, 0)",12
RC,2,50,"(1, 0, 0, 1, 1, 0, 0, 0, 0)",12
RC,2,50,"(1, 0, 0, 1, 1, 0, 0, 0, 1)",12
RC,2,50,"(1, 0, 0, 1, 1, 0, 1, 0, 0)",12
RC,2,50,"(1, 0, 0, 1, 1, 1, 0, 0, 0)",12
RC,2,50,"(0, 0, 0, 1, 1, 1, 0, 1, 0)",12
RC,2,50,"(1, 0, 0, 1, 1, 1, 0, 1, 1)",12
RC,2,50,"(1, 0, 0, 1, 1, 1, 1, 0, 1)",12
RC,2,50,"(1, 0, 1, 0, 0, 0, 0, 1, 0)",12
RC,2,50,"(1, 0, 1, 0, 0, 0, 0, 1, 1)",12
RC,2,50,"(1, 0, 1, 0, 0, 1, 0, 1, 1)",12
RC,2,50,"(0, 0, 1, 0, 0, 1, 1, 1, 0)",12
RC,2,50,"(0, 0, 1, 0, 1, 1, 0, 1, 0)",12
RC,2,50,"(0, 0, 1, 1, 0, 0, 0, 0, 0)",12
RC,2,50,"(0, 0, 1, 1, 0, 0, 0, 1, 0)",12
RC,2,50,"(1, 0, 1, 1, 0, 0, 1, 0, 1)",12
RC,2,50,"(0, 0, 1, 1, 0, 0, 1, 1, 0)",12
RC,2,50,"(0, 0, 1, 1, 1, 0, 0, 0, 1)",12
