num_samples,strategy,count
50,"(0, 0, 0)",200
50,"(1, 0, 0)",199
50,"(0, 0, 1)",200
50,"(1, 0, 1)",175
50,"(0, 1, 0)",194
50,"(1, 1, 0)",200
50,"(0, 1, 1)",200
50,"(1, 1, 1)",200
100,"(0, 0, 0)",200
100,"(1, 0, 0)",200
100,"(0, 0, 1)",200
100,"(1, 0, 1)",141
100,"(0, 1, 0)",181
100,"(1, 1, 0)",200
100,"(0, 1, 1)",200
100,"(1, 1, 1)",200
150,"(0, 0, 0)",200
150,"(1, 0, 0)",199
150,"(0, 0, 1)",200
150,"(1, 0, 1)",113
150,"(0, 1, 0)",164
150,"(1, 1, 0)",200
150,"(0, 1, 1)",200
150,"(1, 1, 1)",196
200,"(0, 0, 0)",200
200,"(1, 0, 0)",194
200,"(0, 0, 1)",200
200,"(1, 0, 1)",70
200,"(0, 1, 0)",143
200,"(1, 1, 0)",200
200,"(0, 1, 1)",200
200,"(1, 1, 1)",195
250,"(0, 0, 0)",200
250,"(1, 0, 0)",195
250,"(0, 0, 1)",200
250,"(1, 0, 1)",52
250,"(0, 1, 0)",134
250,"(1, 1, 0)",200
250,"(0, 1, 1)",200
250,"(1, 1, 1)",195
300,"(0, 0, 0)",200
300,"(1, 0, 0)",195
300,"(0, 0, 1)",200
300,"(1, 0, 1)",30
300,"(0, 1, 0)",112
300,"(1, 1, 0)",200
300,"(0, 1, 1)",200
300,"(1, 1, 1)",195
350,"(0, 0, 0)",200
350,"(1, 0, 0)",183
350,"(0, 0, 1)",200
350,"(1, 1, 0)",200
350,"(0, 1, 1)",200
350,"(1, 1, 1)",191
350,"(0, 1, 0)",100
350,"(1, 0, 1)",23
400,"(0, 0, 0)",200
400,"(1, 0, 0)",182
400,"(0, 0, 1)",200
400,"(0, 1, 0)",69
400,"(1, 1, 0)",200
400,"(0, 1, 1)",200
400,"(1, 1, 1)",188
400,"(1, 0, 1)",11
450,"(0, 0, 0)",200
450,"(1, 0, 0)",184
450,"(0, 0, 1)",200
450,"(1, 1, 0)",200
450,"(0, 1, 1)",200
450,"(1, 1, 1)",186
450,"(0, 1, 0)",59
450,"(1, 0, 1)",9
500,"(0, 0, 0)",200
500,"(1, 0, 0)",177
500,"(0, 0, 1)",200
500,"(1, 1, 0)",200
500,"(0, 1, 1)",200
500,"(1, 1, 1)",181
500,"(0, 1, 0)",32
500,"(1, 0, 1)",1
