noise,delta,num_samples,num_trials,num_nash_mean,num_nash_lower,num_nash_upper,eps_mean,eps_lower,eps_upper
2,0.1,50,200,7.265,7.1666725727925975,7.363327427207402,3.176253997552799,2.980373848333519,3.372134146772079
2,0.1,100,200,6.7,6.586435453808396,6.813564546191604,2.361918625658404,2.209947706343733,2.513889544973075
2,0.1,150,200,6.48,6.380210347177336,6.579789652822665,1.971103693262304,1.844640047517025,2.097567339007583
2,0.1,200,200,6.22,6.119042266203989,6.320957733796011,1.6547499896619917,1.5535943630776368,1.7559056162463467
2,0.1,250,200,5.595,5.451012968785247,5.738987031214752,1.4294387665992343,1.3495295266011251,1.5093480065973435
2,0.1,300,200,5.39,5.228310198123513,5.551689801876487,1.366778721471801,1.2862480142893398,1.4473094286542623
2,0.1,350,200,5.16,4.994340551040768,5.325659448959232,1.2515575263593042,1.168761370964382,1.3343536817542263
2,0.1,400,200,5.035,4.876614558678573,5.1933854413214275,1.1784224521477822,1.1030290484148273,1.253815855880737
2,0.1,450,200,4.96,4.804438803923814,5.115561196076186,1.1001445064594217,1.028710435274879,1.1715785776439644
2,0.1,500,200,4.955,4.812239601590985,5.097760398409015,1.0646074065808433,1.0042907904301572,1.1249240227315294
5,0.1,50,200,7.605,7.515603774456047,7.6943962255439535,3.8643484864741544,3.6665069165226667,4.062190056425642
5,0.1,100,200,6.955,6.839475737305307,7.070524262694693,2.6564265550298,2.509772193281295,2.8030809167783053
5,0.1,150,200,6.605,6.488130382299347,6.721869617700654,2.2375558454462863,2.1214841375171685,2.353627553375404
5,0.1,200,200,6.23,6.099831651404903,6.3601683485950975,1.8595565228206994,1.7549020893557723,1.9642109562856265
5,0.1,250,200,6.18,6.043207316057802,6.3167926839421975,1.8593016861312366,1.7578287699808115,1.9607746022816617
5,0.1,300,200,5.945,5.8115058394893016,6.078494160510699,1.6864754182955952,1.5928815132529088,1.7800693233382816
5,0.1,350,200,5.735,5.590755346469115,5.879244653530885,1.5190152496265619,1.4356304464489011,1.6024000528042226
5,0.1,400,200,5.59,5.450779000561478,5.729220999438522,1.4091381059728278,1.3356733477152058,1.4826028642304498
5,0.1,450,200,5.41,5.275055416296653,5.544944583703347,1.276262930086603,1.211499291137876,1.3410265690353302
5,0.1,500,200,5.395,5.2464704160545725,5.543529583945427,1.2830086885306247,1.2052574606739772,1.3607599163872721
10,0.1,50,200,7.84,7.775273340711771,7.904726659288229,5.2738572857644375,5.021626554596217,5.526088016932658
10,0.1,100,200,7.61,7.519633598688136,7.7003664013118645,3.8507173954247116,3.682324119880413,4.0191106709690105
10,0.1,150,200,7.36,7.244693721782403,7.475306278217598,3.1624173742736303,3.024506734916516,3.300328013630745
10,0.1,200,200,7.01,6.882654476139033,7.137345523860967,2.6673828944815603,2.5490589419535747,2.785706847009546
10,0.1,250,200,6.88,6.758488669388354,7.001511330611645,2.5052786463214627,2.3985301421865137,2.6120271504564117
10,0.1,300,200,6.66,6.547785606145561,6.77221439385444,2.2792263597757243,2.183887744347797,2.3745649752036515
10,0.1,350,200,6.485,6.358433684644781,6.61156631535522,2.066619325508368,1.9681708231267503,2.1650678278899855
10,0.1,400,200,6.25,6.134093670399933,6.365906329600067,1.933528641003344,1.8427674238410303,2.0242898581656577
10,0.1,450,200,6.19,6.077829149041871,6.30217085095813,1.8343831940681314,1.7553007388993487,1.9134656492369142
10,0.1,500,200,5.955,5.854880446970915,6.055119553029085,1.6549985110673793,1.5818933651006883,1.7281036570340702
