algo,noise,num_samples,strategy,count
RC,2,50,"(1, 0, 0, 0, 1)",2
RC,2,50,"(1, 0, 0, 1, 0)",2
RC,2,50,"(0, 0, 0, 1, 1)",2
RC,2,50,"(1, 0, 0, 1, 1)",2
RC,2,50,"(1, 1, 0, 0, 0)",2
RC,2,50,"(0, 1, 0, 0, 1)",2
RC,2,50,"(1, 1, 0, 0, 1)",2
RC,2,50,"(0, 1, 0, 1, 0)",2
RC,2,50,"(1, 1, 0, 1, 0)",2
RC,2,50,"(0, 1, 0, 1, 1)",2
RC,2,100,"(1, 0, 0, 0, 1)",2
RC,2,100,"(1, 0, 0, 1, 0)",2
RC,2,100,"(0, 0, 0, 1, 1)",2
RC,2,100,"(1, 0, 0, 1, 1)",2
RC,2,100,"(1, 1, 0, 0, 0)",2
RC,2,100,"(0, 1, 0, 0, 1)",2
RC,2,100,"(1, 1, 0, 0, 1)",2
RC,2,100,"(0, 1, 0, 1, 0)",2
RC,2,100,"(1, 1, 0, 1, 0)",2
RC,2,100,"(0, 1, 0, 1, 1)",2
RC,2,100,"(0, 0, 0, 0, 0)",1
RC,2,100,"(1, 0, 0, 0, 0)",1
RC,2,100,"(0, 0, 0, 0, 1)",1
RC,2,100,"(0, 0, 0, 1, 0)",1
RC,2,100,"(0, 0, 1, 0, 0)",1
RC,2,100,"(1, 0, 1, 0, 0)",1
RC,2,100,"(0, 0, 1, 0, 1)",1
RC,2,100,"(1, 0, 1, 0, 1)",1
RC,2,100,"(0, 0, 1, 1, 0)",1
RC,2,100,"(1, 0, 1, 1, 0)",1
RC,2,100,"(0, 0, 1, 1, 1)",1
RC,2,100,"(1, 0, 1, 1, 1)",1
RC,2,100,"(0, 1, 0, 0, 0)",1
RC,2,100,"(1, 1, 0, 1, 1)",1
RC,2,100,"(0, 1, 1, 0, 0)",1
RC,2,100,"(1, 1, 1, 0, 0)",1
RC,2,100,"(0, 1, 1, 0, 1)",1
RC,2,100,"(1, 1, 1, 0, 1)",1
RC,2,100,"(0, 1, 1, 1, 0)",1
RC,2,100,"(1, 1, 1, 1, 0)",1
RC,2,100,"(0, 1, 1, 1, 1)",1
RC,2,100,"(1, 1, 1, 1, 1)",1
RC,2,150,"(1, 0, 0, 0, 1)",2
RC,2,150,"(1, 0, 0, 1, 0)",2
RC,2,150,"(0, 0, 0, 1, 1)",2
RC,2,150,"(1, 0, 0, 1, 1)",2
RC,2,150,"(1, 1, 0, 0, 0)",2
RC,2,150,"(0, 1, 0, 0, 1)",2
RC,2,150,"(1, 1, 0, 0, 1)",2
RC,2,150,"(0, 1, 0, 1, 0)",2
