algo,noise,delta,num_samples,num_trials,num_nash_mean,num_nash_lower,num_nash_upper,eps_mean,eps_lower,eps_upper
RC,2,0.1,50,2,18.0,-159.8868663100493,195.8868663100493,4.012090767585678,-29.718419635964086,37.74260117113544
RC,2,0.1,100,2,11.5,-83.79653552324072,106.79653552324072,2.2672158251181465,-18.554476532427103,23.088908182663396
RC,2,0.1,150,2,4.0,4.0,4.0,0.45677866058688643,-1.0013842712637244,1.9149415924374973
RC,2,0.1,200,2,7.0,-31.118614209296283,45.11861420929628,1.5611896549595894,-9.102743152187472,12.22512246210665
RC,2,0.1,250,2,7.0,-31.118614209296283,45.11861420929628,1.9268884274037303,-0.6013043592172915,4.455081214024752
RC,2,0.1,300,2,4.0,4.0,4.0,0.9099576527954376,-5.407049858676302,7.2269651642671775
RC,2,0.1,350,2,7.0,-31.118614209296283,45.11861420929628,1.320131592186479,-11.770699440525553,14.410962624898511
RC,2,0.1,400,2,4.0,4.0,4.0,0.11772909288344244,0.06308964204904997,0.1723685437178349
RC,2,0.1,450,2,4.0,4.0,4.0,1.4349853687238878,-1.7358821140977228,4.605852851545499
RC,2,0.1,500,2,4.0,4.0,4.0,0.30644937469704786,-0.4430023383765182,1.0559010877706139
RC,5,0.1,50,2,32.0,32.0,32.0,7.4114464294460225,4.836194333390457,9.986698525501588
RC,5,0.1,100,2,15.5,-130.6213544689691,161.6213544689691,2.9173160539196163,-14.497789413199033,20.332421521038267
RC,5,0.1,150,2,15.5,-130.6213544689691,161.6213544689691,2.7946132008126607,-19.898333663233785,25.487560064859103
RC,5,0.1,200,2,11.5,-83.79653552324072,106.79653552324072,2.7749189659908193,-9.108495910096897,14.658333842078536
RC,5,0.1,250,2,7.0,-31.118614209296283,45.11861420929628,1.9366265257079158,-9.183737417398472,13.056990468814302
RC,5,0.1,300,2,4.0,4.0,4.0,0.8216948697043674,-1.6227923328199085,3.2661820722286437
RC,5,0.1,350,2,4.0,4.0,4.0,1.0125575813349144,-5.927528638373175,7.9526438010430045
RC,5,0.1,400,2,7.0,-31.118614209296283,45.11861420929628,1.8754706676361312,-8.545956367168206,12.296897702440468
RC,5,0.1,450,2,4.0,4.0,4.0,0.8349556733885966,-2.4740309713468314,4.143942318124025
RC,5,0.1,500,2,11.0,-77.94343315502465,99.94343315502465,1.6893121196937089,-15.898396381217987,19.277020620605406
RC,10,0.1,50,2,31.0,18.293795263567905,43.7062047364321,6.544445268503858,-9.020237589582027,22.109128126589745
RC,10,0.1,100,2,20.5,-125.62135446896909,166.6213544689691,4.626301397888957,-27.035382567734956,36.287985363512874
RC,10,0.1,150,2,28.5,-3.26551184108024,60.26551184108024,4.662283362302855,0.20887239460454943,9.11569433000116
RC,10,0.1,200,2,16.0,-9.41240947286419,41.41240947286419,3.207368113558978,0.2768302512207814,6.137905975897175
RC,10,0.1,250,2,11.0,-77.94343315502465,99.94343315502465,2.290955165871022,-10.161858020950621,14.743768352692666
RC,10,0.1,300,2,4.0,4.0,4.0,1.7184580587694427,1.5671515324082046,1.8697645851306808
RC,10,0.1,350,2,10.0,10.0,10.0,2.5721031624314357,0.22528936616061523,4.9189169587022565
RC,10,0.1,400,2,11.5,-83.79653552324072,106.79653552324072,2.4008141125845306,-15.042275718032943,19.843903943202005
RC,10,0.1,450,2,4.0,4.0,4.0,1.4666462740057957,-1.626250538038914,4.559543086050505
RC,10,0.1,500,2,4.0,4.0,4.0,1.224523845241471,-3.230352352278678,5.67940004276162
HF,2,0.1,50,2,4.0,4.0,4.0,0.5681868033943702,0.5681868033943702,0.5681868033943702
HF,2,0.1,100,2,4.0,4.0,4.0,0.40176874166086685,0.40176874166086685,0.40176874166086685
HF,2,0.1,150,2,4.0,4.0,4.0,0.3280428038897326,0.3280428038897326,0.3280428038897326
HF,2,0.1,200,2,4.0,4.0,4.0,0.2840934016971851,0.2840934016971851,0.2840934016971851
HF,2,0.1,250,2,4.0,4.0,4.0,0.254100863261624,0.254100863261624,0.254100863261624
HF,2,0.1,300,2,4.0,4.0,4.0,0.2319612911498787,0.2319612911498787,0.2319612911498787
HF,2,0.1,350,2,4.0,4.0,4.0,0.21475442571575057,0.21475442571575057,0.21475442571575057
HF,2,0.1,400,2,4.0,4.0,4.0,0.20088437083043342,0.20088437083043342,0.20088437083043342
HF,2,0.1,450,2,4.0,4.0,4.0,0.18939560113145673,0.18939560113145673,0.18939560113145673
HF,2,0.1,500,2,4.0,4.0,4.0,0.17967644351765,0.17967644351765,0.17967644351765
HF,5,0.1,50,2,4.0,4.0,4.0,0.5681868033943702,0.5681868033943702,0.5681868033943702
HF,5,0.1,100,2,3.5,-2.8531023682160477,9.853102368216048,0.40176874166086685,0.40176874166086685,0.40176874166086685
HF,5,0.1,150,2,4.0,4.0,4.0,0.3280428038897326,0.3280428038897326,0.3280428038897326
HF,5,0.1,200,2,3.5,-2.8531023682160477,9.853102368216048,0.2840934016971851,0.2840934016971851,0.2840934016971851
HF,5,0.1,250,2,3.5,-2.8531023682160477,9.853102368216048,0.254100863261624,0.254100863261624,0.254100863261624
HF,5,0.1,300,2,4.0,4.0,4.0,0.2319612911498787,0.2319612911498787,0.2319612911498787
HF,5,0.1,350,2,4.0,4.0,4.0,0.21475442571575057,0.21475442571575057,0.21475442571575057
HF,5,0.1,400,2,4.0,4.0,4.0,0.20088437083043342,0.20088437083043342,0.20088437083043342
HF,5,0.1,450,2,2.5,-3.8531023682160477,8.853102368216048,0.18939560113145673,0.18939560113145673,0.18939560113145673
HF,5,0.1,500,2,4.0,4.0,4.0,0.17967644351765,0.17967644351765,0.17967644351765
HF,10,0.1,50,2,3.5,-2.8531023682160477,9.853102368216048,0.5681868033943702,0.5681868033943702,0.5681868033943702
HF,10,0.1,100,2,3.0,3.0,3.0,0.40176874166086685,0.40176874166086685,0.40176874166086685
HF,10,0.1,150,2,2.0,2.0,2.0,0.3280428038897326,0.3280428038897326,0.3280428038897326
HF,10,0.1,200,2,3.0,3.0,3.0,0.2840934016971851,0.2840934016971851,0.2840934016971851
HF,10,0.1,250,2,2.5,-3.8531023682160477,8.853102368216048,0.254100863261624,0.254100863261624,0.254100863261624
HF,10,0.1,300,2,3.5,-2.8531023682160477,9.853102368216048,0.2319612911498787,0.2319612911498787,0.2319612911498787
HF,10,0.1,350,2,2.5,-3.8531023682160477,8.853102368216048,0.21475442571575057,0.21475442571575057,0.21475442571575057
HF,10,0.1,400,2,3.0,-9.706204736432095,15.706204736432095,0.20088437083043342,0.20088437083043342,0.20088437083043342
HF,10,0.1,450,2,3.5,-2.8531023682160477,9.853102368216048,0.18939560113145673,0.18939560113145673,0.18939560113145673
HF,10,0.1,500,2,4.0,4.0,4.0,0.17967644351765,0.17967644351765,0.17967644351765
