noise,num_samples,strategy,count
2,50,"(0, 0, 0, 0)",23
2,50,"(1, 0, 0, 0)",92
2,50,"(0, 0, 0, 1)",200
2,50,"(1, 0, 0, 1)",146
2,50,"(0, 0, 1, 0)",200
2,50,"(1, 0, 1, 0)",18
2,50,"(0, 0, 1, 1)",175
2,50,"(1, 0, 1, 1)",139
2,50,"(0, 1, 0, 0)",138
2,50,"(1, 1, 0, 0)",200
2,50,"(0, 1, 0, 1)",200
2,50,"(1, 1, 0, 1)",9
2,50,"(0, 1, 1, 0)",177
2,50,"(1, 1, 1, 0)",20
2,50,"(0, 1, 1, 1)",134
2,50,"(1, 1, 1, 1)",3
2,100,"(0, 0, 0, 1)",200
2,100,"(0, 0, 1, 0)",200
2,100,"(1, 1, 0, 0)",200
2,100,"(0, 1, 0, 1)",200
2,100,"(1, 0, 0, 1)",74
2,100,"(0, 0, 1, 1)",88
2,100,"(1, 0, 1, 1)",72
2,100,"(0, 1, 0, 0)",69
2,100,"(0, 1, 1, 0)",94
2,100,"(0, 1, 1, 1)",68
2,100,"(0, 0, 0, 0)",2
2,100,"(1, 0, 0, 0)",33
2,100,"(1, 0, 1, 0)",1
2,100,"(1, 1, 1, 0)",2
2,150,"(0, 0, 0, 1)",200
2,150,"(0, 0, 1, 0)",200
2,150,"(1, 1, 0, 0)",200
2,150,"(0, 1, 0, 1)",200
2,150,"(1, 0, 0, 1)",35
2,150,"(0, 0, 1, 1)",60
2,150,"(1, 0, 1, 1)",30
2,150,"(0, 1, 0, 0)",31
2,150,"(0, 1, 1, 0)",62
2,150,"(0, 1, 1, 1)",24
2,150,"(1, 0, 0, 0)",8
2,200,"(0, 0, 0, 1)",200
2,200,"(0, 0, 1, 0)",200
2,200,"(1, 1, 0, 0)",200
2,200,"(0, 1, 0, 1)",200
2,200,"(1, 0, 0, 0)",4
2,200,"(1, 0, 0, 1)",24
2,200,"(0, 0, 1, 1)",35
2,200,"(1, 0, 1, 1)",23
2,200,"(0, 1, 0, 0)",19
2,200,"(0, 1, 1, 0)",40
2,200,"(0, 1, 1, 1)",16
2,250,"(0, 0, 0, 1)",200
2,250,"(0, 0, 1, 0)",200
2,250,"(1, 1, 0, 0)",200
2,250,"(0, 1, 0, 1)",200
2,250,"(0, 0, 1, 1)",15
2,250,"(0, 1, 1, 0)",16
2,250,"(1, 0, 0, 1)",7
2,250,"(1, 0, 1, 1)",6
2,250,"(0, 1, 0, 0)",5
2,250,"(0, 1, 1, 1)",5
2,300,"(0, 0, 0, 1)",200
2,300,"(0, 0, 1, 0)",200
2,300,"(1, 1, 0, 0)",200
2,300,"(0, 1, 0, 1)",200
2,300,"(1, 0, 0, 1)",5
2,300,"(0, 0, 1, 1)",9
2,300,"(0, 1, 1, 0)",8
2,300,"(1, 0, 1, 1)",4
2,300,"(0, 1, 0, 0)",4
2,300,"(0, 1, 1, 1)",4
2,350,"(0, 0, 0, 1)",200
2,350,"(0, 0, 1, 0)",200
2,350,"(1, 1, 0, 0)",200
2,350,"(0, 1, 0, 1)",200
2,350,"(0, 0, 1, 1)",6
2,350,"(0, 1, 1, 0)",7
2,350,"(1, 0, 0, 0)",1
2,350,"(1, 0, 0, 1)",4
2,350,"(1, 0, 1, 1)",4
2,350,"(0, 1, 0, 0)",4
2,350,"(0, 1, 1, 1)",4
2,400,"(0, 0, 0, 1)",200
2,400,"(0, 0, 1, 0)",200
2,400,"(0, 0, 1, 1)",7
2,400,"(1, 1, 0, 0)",200
2,400,"(0, 1, 0, 1)",200
2,400,"(0, 1, 1, 0)",7
2,400,"(1, 0, 1, 1)",2
2,400,"(1, 0, 0, 1)",1
2,400,"(0, 1, 0, 0)",1
2,450,"(0, 0, 0, 1)",200
2,450,"(0, 0, 1, 0)",200
2,450,"(1, 1, 0, 0)",200
2,450,"(0, 1, 0, 1)",200
2,450,"(0, 0, 1, 1)",3
2,450,"(0, 1, 1, 0)",4
2,500,"(0, 0, 0, 1)",200
2,500,"(0, 0, 1, 0)",200
2,500,"(1, 1, 0, 0)",200
2,500,"(0, 1, 0, 1)",200
5,50,"(0, 0, 0, 1)",200
5,50,"(1, 0, 0, 1)",199
5,50,"(0, 0, 1, 0)",200
5,50,"(0, 0, 1, 1)",199
5,50,"(1, 0, 1, 1)",199
5,50,"(0, 1, 0, 0)",198
5,50,"(1, 1, 0, 0)",200
5,50,"(0, 1, 0, 1)",200
5,50,"(0, 1, 1, 0)",200
5,50,"(0, 1, 1, 1)",194
5,50,"(1, 0, 0, 0)",155
5,50,"(0, 0, 0, 0)",39
5,50,"(1, 0, 1, 0)",22
5,50,"(1, 1, 1, 0)",31
5,50,"(1, 1, 0, 1)",8
5,50,"(1, 1, 1, 1)",1
5,100,"(1, 0, 0, 0)",48
5,100,"(0, 0, 0, 1)",200
5,100,"(1, 0, 0, 1)",117
5,100,"(0, 0, 1, 0)",200
5,100,"(0, 0, 1, 1)",148
5,100,"(1, 0, 1, 1)",119
5,100,"(0, 1, 0, 0)",110
5,100,"(1, 1, 0, 0)",200
5,100,"(0, 1, 0, 1)",200
5,100,"(0, 1, 1, 0)",156
5,100,"(0, 1, 1, 1)",97
5,100,"(0, 0, 0, 0)",2
5,100,"(1, 0, 1, 0)",2
5,100,"(1, 1, 0, 1)",1
5,100,"(1, 1, 1, 0)",2
5,150,"(0, 0, 0, 0)",2
5,150,"(1, 0, 0, 0)",22
5,150,"(0, 0, 0, 1)",200
5,150,"(1, 0, 0, 1)",73
5,150,"(0, 0, 1, 0)",200
5,150,"(0, 0, 1, 1)",92
5,150,"(1, 0, 1, 1)",66
5,150,"(0, 1, 0, 0)",58
5,150,"(1, 1, 0, 0)",200
5,150,"(0, 1, 0, 1)",200
5,150,"(0, 1, 1, 0)",94
5,150,"(1, 1, 1, 0)",2
5,150,"(0, 1, 1, 1)",55
5,200,"(0, 0, 0, 1)",200
5,200,"(0, 0, 1, 0)",200
5,200,"(1, 1, 0, 0)",200
5,200,"(0, 1, 0, 1)",200
5,200,"(1, 0, 0, 0)",11
5,200,"(1, 0, 0, 1)",47
5,200,"(0, 0, 1, 1)",63
5,200,"(1, 0, 1, 1)",41
5,200,"(0, 1, 0, 0)",38
5,200,"(0, 1, 1, 0)",59
5,200,"(0, 1, 1, 1)",34
5,250,"(0, 0, 0, 1)",200
5,250,"(0, 0, 1, 0)",200
5,250,"(1, 1, 0, 0)",200
5,250,"(0, 1, 0, 1)",200
5,250,"(1, 0, 0, 1)",23
5,250,"(0, 0, 1, 1)",35
5,250,"(1, 0, 1, 1)",15
5,250,"(0, 1, 0, 0)",19
5,250,"(0, 1, 1, 0)",39
5,250,"(0, 1, 1, 1)",13
5,250,"(1, 0, 0, 0)",2
5,300,"(0, 0, 0, 1)",200
5,300,"(0, 0, 1, 0)",200
5,300,"(1, 1, 0, 0)",200
5,300,"(0, 1, 0, 1)",200
5,300,"(0, 0, 1, 1)",22
5,300,"(1, 0, 1, 1)",12
5,300,"(0, 1, 1, 0)",22
5,300,"(1, 0, 0, 1)",13
5,300,"(0, 1, 0, 0)",10
5,300,"(0, 1, 1, 1)",6
5,300,"(1, 0, 0, 0)",1
5,350,"(0, 0, 0, 1)",200
5,350,"(0, 0, 1, 0)",200
5,350,"(1, 1, 0, 0)",200
5,350,"(0, 1, 0, 1)",200
5,350,"(1, 0, 0, 1)",7
5,350,"(0, 0, 1, 1)",16
5,350,"(1, 0, 1, 1)",9
5,350,"(0, 1, 0, 0)",7
5,350,"(0, 1, 1, 0)",15
5,350,"(0, 1, 1, 1)",5
5,350,"(1, 0, 0, 0)",1
5,400,"(0, 0, 0, 1)",200
5,400,"(0, 0, 1, 0)",200
5,400,"(1, 1, 0, 0)",200
5,400,"(0, 1, 0, 1)",200
5,400,"(0, 1, 1, 0)",11
5,400,"(0, 0, 1, 1)",11
5,400,"(1, 0, 0, 1)",5
5,400,"(1, 0, 1, 1)",4
5,400,"(0, 1, 1, 1)",4
5,400,"(0, 1, 0, 0)",3
5,450,"(0, 0, 0, 1)",200
5,450,"(0, 0, 1, 0)",200
5,450,"(1, 1, 0, 0)",200
5,450,"(0, 1, 0, 1)",200
5,450,"(0, 1, 1, 0)",5
5,450,"(0, 0, 1, 1)",5
5,450,"(1, 0, 0, 1)",1
5,500,"(0, 0, 0, 1)",200
5,500,"(0, 0, 1, 0)",200
5,500,"(1, 1, 0, 0)",200
5,500,"(0, 1, 0, 1)",200
5,500,"(0, 0, 1, 1)",2
5,500,"(0, 1, 1, 0)",2
10,50,"(0, 0, 0, 0)",123
10,50,"(1, 0, 0, 0)",199
10,50,"(0, 0, 0, 1)",200
10,50,"(1, 0, 0, 1)",200
10,50,"(0, 0, 1, 0)",200
10,50,"(1, 0, 1, 0)",94
10,50,"(0, 0, 1, 1)",200
10,50,"(1, 0, 1, 1)",200
10,50,"(0, 1, 0, 0)",200
10,50,"(1, 1, 0, 0)",200
10,50,"(0, 1, 0, 1)",200
10,50,"(1, 1, 0, 1)",51
10,50,"(0, 1, 1, 0)",200
10,50,"(1, 1, 1, 0)",119
10,50,"(0, 1, 1, 1)",200
10,50,"(1, 1, 1, 1)",21
10,100,"(0, 0, 0, 1)",200
10,100,"(1, 0, 0, 1)",196
10,100,"(0, 0, 1, 0)",200
10,100,"(0, 0, 1, 1)",198
10,100,"(1, 0, 1, 1)",191
10,100,"(0, 1, 0, 0)",191
10,100,"(1, 1, 0, 0)",200
10,100,"(0, 1, 0, 1)",200
10,100,"(0, 1, 1, 0)",198
10,100,"(1, 0, 0, 0)",145
10,100,"(0, 1, 1, 1)",188
10,100,"(0, 0, 0, 0)",22
10,100,"(1, 0, 1, 0)",11
10,100,"(1, 1, 1, 0)",17
10,100,"(1, 1, 0, 1)",3
10,100,"(1, 1, 1, 1)",1
10,150,"(0, 0, 0, 1)",200
10,150,"(0, 0, 1, 0)",200
10,150,"(0, 0, 1, 1)",180
10,150,"(1, 0, 1, 1)",149
10,150,"(1, 1, 0, 0)",200
10,150,"(0, 1, 0, 1)",200
10,150,"(0, 1, 1, 0)",182
10,150,"(1, 0, 0, 1)",157
10,150,"(0, 1, 0, 0)",148
10,150,"(0, 1, 1, 1)",128
10,150,"(1, 0, 0, 0)",67
10,150,"(0, 0, 0, 0)",4
10,150,"(1, 1, 1, 0)",1
10,200,"(0, 0, 0, 1)",200
10,200,"(1, 0, 0, 1)",117
10,200,"(0, 0, 1, 0)",200
10,200,"(0, 0, 1, 1)",148
10,200,"(1, 0, 1, 1)",112
10,200,"(0, 1, 0, 0)",102
10,200,"(1, 1, 0, 0)",200
10,200,"(0, 1, 0, 1)",200
10,200,"(0, 1, 1, 0)",153
