num_samples,strategy,count
50,"(0, 0, 0, 0, 0)",199
50,"(1, 0, 0, 0, 0)",200
50,"(0, 0, 0, 0, 1)",83
50,"(1, 0, 0, 0, 1)",200
50,"(0, 0, 0, 1, 0)",154
50,"(1, 0, 0, 1, 0)",200
50,"(0, 0, 0, 1, 1)",197
50,"(1, 0, 0, 1, 1)",200
50,"(0, 0, 1, 0, 0)",200
50,"(0, 0, 1, 0, 1)",167
50,"(1, 0, 1, 0, 1)",175
50,"(0, 0, 1, 1, 0)",167
50,"(1, 0, 1, 1, 0)",116
50,"(0, 0, 1, 1, 1)",200
50,"(1, 0, 1, 1, 1)",200
50,"(0, 1, 0, 0, 0)",200
50,"(1, 1, 0, 0, 0)",200
50,"(0, 1, 0, 0, 1)",200
50,"(1, 1, 0, 0, 1)",200
50,"(0, 1, 0, 1, 0)",200
50,"(1, 1, 0, 1, 0)",200
50,"(0, 1, 0, 1, 1)",200
50,"(0, 1, 1, 0, 0)",195
50,"(1, 1, 1, 0, 0)",199
50,"(0, 1, 1, 0, 1)",86
50,"(1, 1, 1, 0, 1)",200
50,"(0, 1, 1, 1, 0)",200
50,"(1, 1, 1, 1, 0)",91
50,"(0, 1, 1, 1, 1)",169
50,"(1, 0, 1, 0, 0)",32
50,"(1, 1, 0, 1, 1)",33
50,"(1, 1, 1, 1, 1)",23
100,"(1, 0, 0, 0, 0)",200
100,"(1, 0, 0, 1, 0)",200
100,"(1, 0, 0, 1, 1)",200
100,"(0, 0, 1, 0, 0)",184
100,"(0, 0, 1, 1, 1)",200
100,"(0, 1, 0, 0, 0)",200
100,"(1, 1, 0, 0, 0)",198
100,"(0, 1, 0, 0, 1)",200
100,"(1, 1, 0, 0, 1)",200
100,"(0, 1, 0, 1, 0)",200
100,"(1, 1, 0, 1, 0)",200
100,"(0, 1, 0, 1, 1)",200
100,"(1, 1, 1, 0, 1)",193
100,"(0, 1, 1, 1, 0)",200
100,"(0, 0, 0, 0, 0)",148
100,"(1, 0, 0, 0, 1)",169
100,"(0, 0, 0, 1, 1)",125
100,"(1, 0, 1, 1, 1)",161
100,"(0, 1, 1, 0, 0)",90
100,"(1, 1, 1, 0, 0)",144
100,"(0, 0, 0, 1, 0)",31
100,"(0, 0, 1, 0, 1)",46
100,"(1, 0, 1, 0, 1)",49
100,"(0, 0, 1, 1, 0)",37
100,"(0, 1, 1, 1, 1)",41
100,"(1, 0, 1, 1, 0)",13
100,"(0, 0, 0, 0, 1)",7
100,"(0, 1, 1, 0, 1)",8
100,"(1, 1, 1, 1, 0)",10
150,"(1, 0, 0, 0, 0)",200
150,"(1, 0, 0, 0, 1)",80
150,"(1, 0, 0, 1, 0)",200
150,"(1, 0, 0, 1, 1)",200
150,"(0, 0, 1, 0, 0)",119
150,"(0, 0, 1, 1, 1)",199
150,"(1, 0, 1, 1, 1)",84
150,"(0, 1, 0, 0, 0)",200
150,"(1, 1, 0, 0, 0)",153
150,"(0, 1, 0, 0, 1)",191
150,"(1, 1, 0, 0, 1)",200
150,"(0, 1, 0, 1, 0)",200
150,"(1, 1, 0, 1, 0)",200
150,"(0, 1, 0, 1, 1)",200
150,"(1, 1, 1, 0, 0)",59
150,"(1, 1, 1, 0, 1)",158
150,"(0, 1, 1, 1, 0)",199
150,"(0, 0, 0, 0, 0)",57
150,"(0, 0, 0, 1, 1)",51
150,"(0, 1, 1, 0, 0)",32
150,"(0, 0, 1, 0, 1)",13
150,"(0, 0, 0, 1, 0)",12
150,"(0, 0, 1, 1, 0)",12
150,"(1, 0, 1, 0, 1)",12
150,"(0, 1, 1, 1, 1)",11
150,"(0, 0, 0, 0, 1)",2
150,"(1, 0, 1, 1, 0)",5
150,"(0, 1, 1, 0, 1)",3
150,"(1, 1, 1, 1, 0)",2
200,"(0, 0, 0, 0, 0)",35
200,"(1, 0, 0, 0, 0)",200
200,"(1, 0, 0, 1, 0)",200
200,"(1, 0, 0, 1, 1)",200
200,"(0, 0, 1, 0, 0)",80
200,"(0, 0, 1, 1, 1)",196
200,"(0, 1, 0, 0, 0)",200
200,"(1, 1, 0, 0, 0)",109
200,"(0, 1, 0, 0, 1)",156
200,"(1, 1, 0, 0, 1)",200
200,"(0, 1, 0, 1, 0)",200
200,"(1, 1, 0, 1, 0)",200
200,"(0, 1, 0, 1, 1)",200
200,"(1, 1, 1, 0, 1)",107
200,"(0, 1, 1, 1, 0)",192
200,"(1, 0, 0, 0, 1)",47
200,"(0, 0, 0, 1, 1)",23
200,"(1, 0, 1, 1, 1)",47
200,"(0, 1, 1, 0, 0)",14
200,"(1, 1, 1, 0, 0)",28
200,"(0, 0, 0, 1, 0)",2
200,"(0, 0, 1, 0, 1)",4
200,"(1, 0, 1, 0, 1)",6
200,"(0, 1, 1, 1, 1)",1
200,"(0, 0, 1, 1, 0)",2
250,"(1, 0, 0, 0, 0)",199
250,"(1, 0, 0, 0, 1)",10
250,"(1, 0, 0, 1, 0)",200
250,"(1, 0, 0, 1, 1)",200
250,"(0, 0, 1, 0, 0)",24
250,"(0, 0, 1, 1, 1)",176
250,"(1, 0, 1, 1, 1)",11
250,"(0, 1, 0, 0, 0)",200
250,"(1, 1, 0, 0, 0)",41
250,"(0, 1, 0, 0, 1)",84
250,"(1, 1, 0, 0, 1)",200
250,"(0, 1, 0, 1, 0)",200
250,"(1, 1, 0, 1, 0)",200
250,"(0, 1, 0, 1, 1)",200
250,"(1, 1, 1, 0, 0)",9
250,"(1, 1, 1, 0, 1)",51
250,"(0, 1, 1, 1, 0)",171
250,"(0, 0, 0, 0, 0)",6
250,"(0, 0, 0, 1, 0)",1
250,"(0, 0, 0, 1, 1)",3
250,"(0, 0, 1, 0, 1)",2
250,"(1, 0, 1, 0, 1)",2
250,"(0, 0, 1, 1, 0)",2
250,"(0, 1, 1, 0, 0)",3
250,"(0, 1, 1, 1, 1)",1
300,"(1, 0, 0, 0, 0)",192
300,"(1, 0, 0, 1, 0)",200
300,"(1, 0, 0, 1, 1)",200
300,"(0, 0, 1, 1, 1)",156
300,"(0, 1, 0, 0, 0)",200
300,"(0, 1, 0, 0, 1)",67
300,"(1, 1, 0, 0, 1)",200
300,"(0, 1, 0, 1, 0)",200
300,"(1, 1, 0, 1, 0)",200
300,"(0, 1, 0, 1, 1)",200
300,"(0, 1, 1, 1, 0)",138
300,"(0, 0, 1, 0, 0)",24
300,"(1, 1, 0, 0, 0)",36
300,"(1, 1, 1, 0, 1)",36
300,"(0, 0, 0, 0, 0)",8
300,"(1, 0, 0, 0, 1)",11
300,"(0, 0, 0, 1, 1)",6
300,"(0, 0, 1, 0, 1)",1
300,"(1, 0, 1, 1, 1)",10
300,"(0, 1, 1, 0, 0)",4
300,"(1, 1, 1, 0, 0)",8
300,"(1, 0, 1, 0, 1)",1
300,"(0, 0, 1, 1, 0)",1
350,"(1, 0, 0, 0, 0)",181
350,"(1, 0, 0, 1, 0)",200
350,"(1, 0, 0, 1, 1)",200
350,"(0, 0, 1, 1, 1)",132
350,"(0, 1, 0, 0, 0)",200
350,"(0, 1, 0, 0, 1)",49
