delta,mean,lower,upper
0.025,0.98,0.9520810170207759,1.007918982979224
0.05,0.99,0.9701578304849132,1.0098421695150868
0.07500000000000001,0.99,0.9701578304849132,1.0098421695150868
0.1,0.96,0.9209215643219727,0.9990784356780272
0.125,0.93,0.8791182485051084,0.9808817514948917
0.15000000000000002,0.98,0.9520810170207759,1.007918982979224
0.17500000000000002,0.95,0.9065371337811178,0.9934628662188821
0.2,0.93,0.8791182485051084,0.9808817514948917
0.225,0.93,0.8791182485051084,0.9808817514948917
0.25,0.9,0.8401736079016626,0.9598263920983374
0.275,0.94,0.8926400636260718,0.987359936373928
0.30000000000000004,0.97,0.935981273413217,1.004018726586783
0.325,0.96,0.9209215643219727,0.9990784356780272
0.35000000000000003,0.93,0.8791182485051084,0.9808817514948917
0.375,0.92,0.8658983556118984,0.9741016443881017
0.4,0.96,0.9209215643219727,0.9990784356780272
0.42500000000000004,0.94,0.892640063626072,0.9873599363739279
0.45,0.94,0.8926400636260718,0.987359936373928
0.47500000000000003,0.96,0.9209215643219727,0.9990784356780272
0.5,0.96,0.9209215643219727,0.9990784356780272
