noise,discount,delta,mean,lower,upper
50,1.0,0.02,1.0,1.0,1.0
50,1.0,0.04,1.0,1.0,1.0
50,1.0,0.06,1.0,1.0,1.0
50,1.0,0.08,1.0,1.0,1.0
50,1.0,0.1,1.0,1.0,1.0
50,1.0,0.12,1.0,1.0,1.0
50,1.0,0.14,1.0,1.0,1.0
50,1.0,0.16,1.0,1.0,1.0
50,1.0,0.18,1.0,1.0,1.0
50,1.0,0.2,1.0,1.0,1.0
50,1.0,0.22,1.0,1.0,1.0
50,1.0,0.24,1.0,1.0,1.0
50,1.0,0.26,1.0,1.0,1.0
50,1.0,0.28,1.0,1.0,1.0
50,1.0,0.3,1.0,1.0,1.0
50,1.0,0.32,1.0,1.0,1.0
50,1.0,0.34,1.0,1.0,1.0
50,1.0,0.36,1.0,1.0,1.0
50,1.0,0.38,1.0,1.0,1.0
50,1.0,0.4,1.0,1.0,1.0
50,1.0,0.42,1.0,1.0,1.0
50,1.0,0.44,1.0,1.0,1.0
50,1.0,0.46,1.0,1.0,1.0
50,1.0,0.48,1.0,1.0,1.0
50,1.0,0.5,1.0,1.0,1.0
50,0.75,0.02,1.0,1.0,1.0
50,0.75,0.04,1.0,1.0,1.0
50,0.75,0.06,1.0,1.0,1.0
50,0.75,0.08,1.0,1.0,1.0
50,0.75,0.1,1.0,1.0,1.0
50,0.75,0.12,1.0,1.0,1.0
50,0.75,0.14,1.0,1.0,1.0
50,0.75,0.16,1.0,1.0,1.0
50,0.75,0.18,1.0,1.0,1.0
50,0.75,0.2,1.0,1.0,1.0
50,0.75,0.22,1.0,1.0,1.0
50,0.75,0.24,1.0,1.0,1.0
50,0.75,0.26,1.0,1.0,1.0
50,0.75,0.28,1.0,1.0,1.0
50,0.75,0.3,1.0,1.0,1.0
50,0.75,0.32,1.0,1.0,1.0
50,0.75,0.34,1.0,1.0,1.0
50,0.75,0.36,1.0,1.0,1.0
50,0.75,0.38,1.0,1.0,1.0
50,0.75,0.4,1.0,1.0,1.0
50,0.75,0.42,1.0,1.0,1.0
50,0.75,0.44,1.0,1.0,1.0
50,0.75,0.46,1.0,1.0,1.0
50,0.75,0.48,1.0,1.0,1.0
50,0.75,0.5,1.0,1.0,1.0
50,0.5,0.02,1.0,1.0,1.0
50,0.5,0.04,1.0,1.0,1.0
50,0.5,0.06,1.0,1.0,1.0
50,0.5,0.08,1.0,1.0,1.0
50,0.5,0.1,1.0,1.0,1.0
50,0.5,0.12,1.0,1.0,1.0
50,0.5,0.14,1.0,1.0,1.0
50,0.5,0.16,1.0,1.0,1.0
50,0.5,0.18,1.0,1.0,1.0
50,0.5,0.2,1.0,1.0,1.0
50,0.5,0.22,1.0,1.0,1.0
50,0.5,0.24,1.0,1.0,1.0
50,0.5,0.26,1.0,1.0,1.0
50,0.5,0.28,1.0,1.0,1.0
50,0.5,0.3,1.0,1.0,1.0
50,0.5,0.32,1.0,1.0,1.0
50,0.5,0.34,1.0,1.0,1.0
50,0.5,0.36,1.0,1.0,1.0
50,0.5,0.38,1.0,1.0,1.0
50,0.5,0.4,1.0,1.0,1.0
50,0.5,0.42,1.0,1.0,1.0
50,0.5,0.44,1.0,1.0,1.0
50,0.5,0.46,1.0,1.0,1.0
50,0.5,0.48,1.0,1.0,1.0
50,0.5,0.5,1.0,1.0,1.0
50,0.25,0.02,1.0,1.0,1.0
50,0.25,0.04,1.0,1.0,1.0
50,0.25,0.06,1.0,1.0,1.0
50,0.25,0.08,1.0,1.0,1.0
50,0.25,0.1,1.0,1.0,1.0
50,0.25,0.12,1.0,1.0,1.0
50,0.25,0.14,1.0,1.0,1.0
50,0.25,0.16,1.0,1.0,1.0
50,0.25,0.18,1.0,1.0,1.0
50,0.25,0.2,1.0,1.0,1.0
50,0.25,0.22,1.0,1.0,1.0
50,0.25,0.24,1.0,1.0,1.0
50,0.25,0.26,1.0,1.0,1.0
50,0.25,0.28,1.0,1.0,1.0
50,0.25,0.3,1.0,1.0,1.0
50,0.25,0.32,1.0,1.0,1.0
50,0.25,0.34,1.0,1.0,1.0
50,0.25,0.36,1.0,1.0,1.0
50,0.25,0.38,1.0,1.0,1.0
50,0.25,0.4,1.0,1.0,1.0
50,0.25,0.42,1.0,1.0,1.0
50,0.25,0.44,1.0,1.0,1.0
50,0.25,0.46,1.0,1.0,1.0
50,0.25,0.48,1.0,1.0,1.0
50,0.25,0.5,1.0,1.0,1.0
