game,noise,discount,delta,mean,lower,upper
0,5,1.0,0.01,1.0,1.0,1.0
0,10,1.0,0.01,1.0,1.0,1.0
0,50,1.0,0.01,1.0,1.0,1.0
0,5,0.75,0.01,1.0,1.0,1.0
0,10,0.75,0.01,1.0,1.0,1.0
0,50,0.75,0.01,1.0,1.0,1.0
0,5,0.5,0.01,1.0,1.0,1.0
0,10,0.5,0.01,1.0,1.0,1.0
0,50,0.5,0.01,1.0,1.0,1.0
0,5,0.25,0.01,1.0,1.0,1.0
0,10,0.25,0.01,1.0,1.0,1.0
0,50,0.25,0.01,0.99,0.9701578304849132,1.0098421695150868
1,5,1.0,0.01,1.0,1.0,1.0
1,10,1.0,0.01,1.0,1.0,1.0
1,50,1.0,0.01,1.0,1.0,1.0
1,5,0.75,0.01,1.0,1.0,1.0
1,10,0.75,0.01,1.0,1.0,1.0
1,50,0.75,0.01,1.0,1.0,1.0
1,5,0.5,0.01,1.0,1.0,1.0
1,10,0.5,0.01,1.0,1.0,1.0
1,50,0.5,0.01,1.0,1.0,1.0
1,5,0.25,0.01,1.0,1.0,1.0
1,10,0.25,0.01,1.0,1.0,1.0
1,50,0.25,0.01,1.0,1.0,1.0
0,5,1.0,0.01,1.0,1.0,1.0
0,10,1.0,0.01,1.0,1.0,1.0
0,50,1.0,0.01,0.92,0.8658983556118984,0.9741016443881017
0,5,0.75,0.01,1.0,1.0,1.0
0,10,0.75,0.01,1.0,1.0,1.0
0,50,0.75,0.01,0.87,0.8029339295620354,0.9370660704379646
0,5,0.5,0.01,1.0,1.0,1.0
0,10,0.5,0.01,1.0,1.0,1.0
0,50,0.5,0.01,0.92,0.8658983556118984,0.9741016443881017
0,5,0.25,0.01,1.0,1.0,1.0
0,10,0.25,0.01,1.0,1.0,1.0
0,50,0.25,0.01,0.92,0.8658983556118984,0.9741016443881017
1,5,1.0,0.01,1.0,1.0,1.0
1,10,1.0,0.01,1.0,1.0,1.0
1,50,1.0,0.01,1.0,1.0,1.0
1,5,0.75,0.01,1.0,1.0,1.0
1,10,0.75,0.01,1.0,1.0,1.0
1,50,0.75,0.01,1.0,1.0,1.0
1,5,0.5,0.01,1.0,1.0,1.0
1,10,0.5,0.01,1.0,1.0,1.0
1,50,0.5,0.01,1.0,1.0,1.0
1,5,0.25,0.01,0.99,0.9701578304849132,1.0098421695150868
1,10,0.25,0.01,1.0,1.0,1.0
1,50,0.25,0.01,1.0,1.0,1.0
0,5,1.0,0.01,1.0,1.0,1.0
0,10,1.0,0.01,1.0,1.0,1.0
0,50,1.0,0.01,1.0,1.0,1.0
0,5,0.75,0.01,1.0,1.0,1.0
0,10,0.75,0.01,1.0,1.0,1.0
0,50,0.75,0.01,1.0,1.0,1.0
0,5,0.5,0.01,1.0,1.0,1.0
0,10,0.5,0.01,1.0,1.0,1.0
0,50,0.5,0.01,1.0,1.0,1.0
0,5,0.25,0.01,1.0,1.0,1.0
0,10,0.25,0.01,1.0,1.0,1.0
0,50,0.25,0.01,1.0,1.0,1.0
1,5,1.0,0.01,1.0,1.0,1.0
1,10,1.0,0.01,1.0,1.0,1.0
1,50,1.0,0.01,1.0,1.0,1.0
1,5,0.75,0.01,1.0,1.0,1.0
1,10,0.75,0.01,1.0,1.0,1.0
1,50,0.75,0.01,1.0,1.0,1.0
1,5,0.5,0.01,1.0,1.0,1.0
1,10,0.5,0.01,1.0,1.0,1.0
1,50,0.5,0.01,1.0,1.0,1.0
1,5,0.25,0.01,0.93,0.8791182485051084,0.9808817514948917
1,10,0.25,0.01,1.0,1.0,1.0
1,50,0.25,0.01,1.0,1.0,1.0
0,5,1.0,0.01,1.0,1.0,1.0
0,10,1.0,0.01,1.0,1.0,1.0
0,50,1.0,0.01,1.0,1.0,1.0
0,5,0.75,0.01,1.0,1.0,1.0
0,10,0.75,0.01,1.0,1.0,1.0
0,50,0.75,0.01,1.0,1.0,1.0
0,5,0.5,0.01,1.0,1.0,1.0
0,10,0.5,0.01,1.0,1.0,1.0
0,50,0.5,0.01,1.0,1.0,1.0
0,5,0.25,0.01,0.51,0.4103092906280824,0.6096907093719176
0,10,0.25,0.01,0.63,0.5337185338396045,0.7262814661603955
0,50,0.25,0.01,0.97,0.935981273413217,1.004018726586783
1,5,1.0,0.01,1.0,1.0,1.0
1,10,1.0,0.01,1.0,1.0,1.0
1,50,1.0,0.01,1.0,1.0,1.0
1,5,0.75,0.01,1.0,1.0,1.0
1,10,0.75,0.01,1.0,1.0,1.0
1,50,0.75,0.01,1.0,1.0,1.0
1,5,0.5,0.01,1.0,1.0,1.0
1,10,0.5,0.01,1.0,1.0,1.0
1,50,0.5,0.01,1.0,1.0,1.0
1,5,0.25,0.01,0.95,0.9065371337811178,0.9934628662188821
1,10,0.25,0.01,1.0,1.0,1.0
1,50,0.25,0.01,1.0,1.0,1.0
0,5,1.0,0.01,1.0,1.0,1.0
0,10,1.0,0.01,1.0,1.0,1.0
0,50,1.0,0.01,0.97,0.935981273413217,1.004018726586783
0,5,0.75,0.01,1.0,1.0,1.0
0,10,0.75,0.01,1.0,1.0,1.0
0,50,0.75,0.01,0.96,0.9209215643219727,0.9990784356780272
0,5,0.5,0.01,1.0,1.0,1.0
0,10,0.5,0.01,1.0,1.0,1.0
0,50,0.5,0.01,0.98,0.9520810170207759,1.007918982979224
