noise,delta,mean,lower,upper
5,0.02,1.0,1.0,1.0
5,0.04,1.0,1.0,1.0
5,0.06,1.0,1.0,1.0
5,0.08,1.0,1.0,1.0
5,0.1,1.0,1.0,1.0
5,0.12,1.0,1.0,1.0
5,0.14,1.0,1.0,1.0
5,0.16,1.0,1.0,1.0
5,0.18,1.0,1.0,1.0
5,0.2,1.0,1.0,1.0
5,0.22,1.0,1.0,1.0
5,0.24,1.0,1.0,1.0
5,0.26,1.0,1.0,1.0
5,0.28,1.0,1.0,1.0
5,0.3,1.0,1.0,1.0
5,0.32,1.0,1.0,1.0
5,0.34,1.0,1.0,1.0
5,0.36,1.0,1.0,1.0
5,0.38,1.0,1.0,1.0
5,0.4,1.0,1.0,1.0
5,0.42,1.0,1.0,1.0
5,0.44,1.0,1.0,1.0
5,0.46,1.0,1.0,1.0
5,0.48,1.0,1.0,1.0
5,0.5,1.0,1.0,1.0
10,0.02,1.0,1.0,1.0
10,0.04,1.0,1.0,1.0
10,0.06,1.0,1.0,1.0
10,0.08,1.0,1.0,1.0
10,0.1,1.0,1.0,1.0
10,0.12,1.0,1.0,1.0
10,0.14,1.0,1.0,1.0
10,0.16,1.0,1.0,1.0
10,0.18,1.0,1.0,1.0
10,0.2,1.0,1.0,1.0
10,0.22,1.0,1.0,1.0
10,0.24,1.0,1.0,1.0
10,0.26,1.0,1.0,1.0
10,0.28,1.0,1.0,1.0
10,0.3,1.0,1.0,1.0
10,0.32,1.0,1.0,1.0
10,0.34,1.0,1.0,1.0
10,0.36,1.0,1.0,1.0
10,0.38,1.0,1.0,1.0
10,0.4,1.0,1.0,1.0
10,0.42,1.0,1.0,1.0
10,0.44,1.0,1.0,1.0
10,0.46,1.0,1.0,1.0
10,0.48,1.0,1.0,1.0
10,0.5,1.0,1.0,1.0
50,0.02,1.0,1.0,1.0
50,0.04,1.0,1.0,1.0
50,0.06,1.0,1.0,1.0
50,0.08,1.0,1.0,1.0
50,0.1,1.0,1.0,1.0
50,0.12,1.0,1.0,1.0
50,0.14,1.0,1.0,1.0
50,0.16,1.0,1.0,1.0
50,0.18,1.0,1.0,1.0
50,0.2,1.0,1.0,1.0
50,0.22,1.0,1.0,1.0
50,0.24,1.0,1.0,1.0
50,0.26,1.0,1.0,1.0
50,0.28,1.0,1.0,1.0
50,0.3,1.0,1.0,1.0
50,0.32,1.0,1.0,1.0
50,0.34,1.0,1.0,1.0
50,0.36,1.0,1.0,1.0
50,0.38,1.0,1.0,1.0
50,0.4,1.0,1.0,1.0
50,0.42,1.0,1.0,1.0
50,0.44,1.0,1.0,1.0
50,0.46,1.0,1.0,1.0
50,0.48,1.0,1.0,1.0
50,0.5,1.0,1.0,1.0
