noise,discount,delta,mean,lower,upper
5,1.0,0.01,1.0,1.0,1.0
10,1.0,0.01,1.0,1.0,1.0
50,1.0,0.01,1.0,1.0,1.0
5,0.75,0.01,1.0,1.0,1.0
10,0.75,0.01,1.0,1.0,1.0
50,0.75,0.01,1.0,1.0,1.0
5,0.5,0.01,1.0,1.0,1.0
10,0.5,0.01,1.0,1.0,1.0
50,0.5,0.01,1.0,1.0,1.0
5,0.25,0.01,1.0,1.0,1.0
10,0.25,0.01,1.0,1.0,1.0
50,0.25,0.01,0.99,0.9701578304849132,1.0098421695150868
5,1.0,0.01,1.0,1.0,1.0
10,1.0,0.01,1.0,1.0,1.0
50,1.0,0.01,1.0,1.0,1.0
5,0.75,0.01,1.0,1.0,1.0
10,0.75,0.01,1.0,1.0,1.0
50,0.75,0.01,1.0,1.0,1.0
5,0.5,0.01,1.0,1.0,1.0
10,0.5,0.01,1.0,1.0,1.0
50,0.5,0.01,1.0,1.0,1.0
5,0.25,0.01,1.0,1.0,1.0
10,0.25,0.01,1.0,1.0,1.0
50,0.25,0.01,1.0,1.0,1.0
