game,noise,discount,delta,mean,lower,upper
0,5,1.0,0.01,1.0,1.0,1.0
0,10,1.0,0.01,1.0,1.0,1.0
0,50,1.0,0.01,1.0,1.0,1.0
0,5,0.75,0.01,1.0,1.0,1.0
0,10,0.75,0.01,1.0,1.0,1.0
0,50,0.75,0.01,1.0,1.0,1.0
0,5,0.5,0.01,1.0,1.0,1.0
0,10,0.5,0.01,1.0,1.0,1.0
0,50,0.5,0.01,1.0,1.0,1.0
0,5,0.25,0.01,1.0,1.0,1.0
0,10,0.25,0.01,1.0,1.0,1.0
0,50,0.25,0.01,1.0,1.0,1.0
1,5,1.0,0.01,1.0,1.0,1.0
1,10,1.0,0.01,1.0,1.0,1.0
1,50,1.0,0.01,1.0,1.0,1.0
1,5,0.75,0.01,1.0,1.0,1.0
1,10,0.75,0.01,1.0,1.0,1.0
1,50,0.75,0.01,1.0,1.0,1.0
1,5,0.5,0.01,1.0,1.0,1.0
1,10,0.5,0.01,1.0,1.0,1.0
1,50,0.5,0.01,1.0,1.0,1.0
1,5,0.25,0.01,0.98,0.9520810170207759,1.007918982979224
1,10,0.25,0.01,1.0,1.0,1.0
1,50,0.25,0.01,1.0,1.0,1.0
