,m,eps,time,algo,type
0,99200,0.1,0.852971076965332,ps,rademacher
1,3200,0.1,0.009463071823120117,ps,hoeffding
2,11000,0.1,0.0506739616394043,psp,rademacher
3,3200,0.1,0.01807999610900879,psp,hoeffding
4,48000,0.1,0.3830142021179199,ps,rademacher
5,3200,0.1,0.011246919631958008,ps,hoeffding
6,20000,0.1,0.09551095962524414,psp,rademacher
7,3200,0.1,0.019060134887695312,psp,hoeffding
8,99200,0.1,0.8920230865478516,ps,rademacher
9,3200,0.1,0.019160032272338867,ps,hoeffding
10,18400,0.1,0.11353659629821777,psp,rademacher
11,3200,0.1,0.01875472068786621,psp,hoeffding
12,48000,0.1,0.3552122116088867,ps,rademacher
13,3200,0.1,0.019248008728027344,ps,hoeffding
14,6800,0.1,0.03211808204650879,psp,rademacher
15,3200,0.1,0.01787710189819336,psp,hoeffding
16,99200,0.1,0.7812087535858154,ps,rademacher
17,3200,0.1,0.011258840560913086,ps,hoeffding
18,11200,0.1,0.06227612495422363,psp,rademacher
19,3200,0.1,0.020821094512939453,psp,hoeffding
20,99200,0.1,0.771064043045044,ps,rademacher
21,3200,0.1,0.014778852462768555,ps,hoeffding
22,21300,0.1,0.10015201568603516,psp,rademacher
23,3200,0.1,0.011022090911865234,psp,hoeffding
24,201600,0.1,1.7906248569488525,ps,rademacher
25,3200,0.1,0.014219045639038086,ps,hoeffding
26,10300,0.1,0.04412579536437988,psp,rademacher
27,3200,0.1,0.010994911193847656,psp,hoeffding
28,99200,0.1,0.9161217212677002,ps,rademacher
29,3200,0.1,0.017937183380126953,ps,hoeffding
30,6400,0.1,0.027132749557495117,psp,rademacher
31,3200,0.1,0.011806964874267578,psp,hoeffding
32,99200,0.1,0.8910937309265137,ps,rademacher
33,3200,0.1,0.008642196655273438,ps,hoeffding
34,6700,0.1,0.022390127182006836,psp,rademacher
35,3200,0.1,0.011217832565307617,psp,hoeffding
36,48000,0.1,0.33583617210388184,ps,rademacher
37,3200,0.1,0.01606917381286621,ps,hoeffding
38,18300,0.1,0.11710095405578613,psp,rademacher
39,3200,0.1,0.020670175552368164,psp,hoeffding
40,22400,0.1,0.23923707008361816,ps,rademacher
41,3200,0.1,0.02839493751525879,ps,hoeffding
42,6400,0.1,0.04604482650756836,psp,rademacher
43,3200,0.1,0.02076888084411621,psp,hoeffding
44,9600,0.1,0.08873701095581055,ps,rademacher
45,3200,0.1,0.026942968368530273,ps,hoeffding
46,7300,0.1,0.04359173774719238,psp,rademacher
47,3200,0.1,0.021687030792236328,psp,hoeffding
48,99200,0.1,1.014106035232544,ps,rademacher
49,3200,0.1,0.013957977294921875,ps,hoeffding
50,10800,0.1,0.058834075927734375,psp,rademacher
