,m,eps,time,algo
0,56700,0.1,0.2816019058227539,ps
1,63300,0.1,0.1834878921508789,psp
2,24300,0.1,0.09520316123962402,ps
3,8100,0.1,0.02366781234741211,psp
4,24300,0.1,0.10088014602661133,ps
5,8100,0.1,0.027451276779174805,psp
6,121500,0.1,0.6271729469299316,ps
7,12700,0.1,0.0393068790435791,psp
8,24300,0.1,0.10050582885742188,ps
9,33900,0.1,0.10440587997436523,psp
10,251100,0.1,1.3266491889953613,ps
11,19500,0.1,0.059165239334106445,psp
12,56700,0.1,0.258699893951416,ps
13,59800,0.1,0.17286014556884766,psp
14,24300,0.1,0.10064101219177246,ps
15,228900,0.1,0.6691479682922363,psp
16,121500,0.1,0.6294898986816406,ps
17,12300,0.1,0.03921937942504883,psp
18,24300,0.1,0.09909987449645996,ps
19,11900,0.1,0.038480281829833984,psp
20,56700,0.1,0.278256893157959,ps
21,20700,0.1,0.06368470191955566,psp
22,121500,0.1,0.6246428489685059,ps
23,8100,0.1,0.026536941528320312,psp
24,56700,0.1,0.26566195487976074,ps
25,11600,0.1,0.03716707229614258,psp
26,121500,0.1,0.6175580024719238,ps
27,21300,0.1,0.0643761157989502,psp
28,251100,0.1,1.3534212112426758,ps
29,8100,0.1,0.023752927780151367,psp
30,24300,0.1,0.09483218193054199,ps
31,121500,0.1,0.37491321563720703,psp
32,24300,0.1,0.10278987884521484,ps
33,19500,0.1,0.05878305435180664,psp
34,8100,0.1,0.027667999267578125,ps
35,11900,0.1,0.04356026649475098,psp
36,8100,0.1,0.029953956604003906,ps
37,8100,0.1,0.023895978927612305,psp
38,8100,0.1,0.02843475341796875,ps
39,8100,0.1,0.027344942092895508,psp
40,56700,0.1,0.34235167503356934,ps
41,241700,0.1,0.7411501407623291,psp
42,8100,0.1,0.032531023025512695,ps
43,67400,0.1,0.21796298027038574,psp
44,24300,0.1,0.10257387161254883,ps
45,35200,0.1,0.11959481239318848,psp
46,24300,0.1,0.1035761833190918,ps
47,8100,0.1,0.02632308006286621,psp
48,56700,0.1,0.5306832790374756,ps
49,59900,0.1,0.22591376304626465,psp
50,8100,0.1,0.04157114028930664,ps
51,8100,0.1,0.029815673828125,psp
52,56700,0.1,0.3077099323272705,ps
53,59900,0.1,0.22352099418640137,psp
54,121500,0.1,0.9668500423431396,ps
55,36900,0.1,0.11796402931213379,psp
56,8100,0.1,0.030651092529296875,ps
57,66300,0.1,0.23852109909057617,psp
58,8100,0.1,0.028311967849731445,ps
59,18800,0.1,0.05895590782165527,psp
60,121500,0.1,0.7695291042327881,ps
61,62700,0.1,0.21778297424316406,psp
62,8100,0.1,0.038606882095336914,ps
63,12400,0.1,0.03888821601867676,psp
64,8100,0.1,0.03146195411682129,ps
65,8100,0.1,0.027333974838256836,psp
66,24300,0.1,0.14484906196594238,ps
67,20800,0.1,0.06706786155700684,psp
68,8100,0.1,0.02979421615600586,ps
69,8100,0.1,0.024799108505249023,psp
70,8100,0.1,0.027991056442260742,ps
71,19400,0.1,0.058695077896118164,psp
72,56700,0.1,0.2691991329193115,ps
73,21600,0.1,0.06940507888793945,psp
74,24300,0.1,0.1004800796508789,ps
75,8100,0.1,0.029125213623046875,psp
76,251100,0.1,1.873812198638916,ps
77,21000,0.1,0.07484722137451172,psp
78,24300,0.1,0.11117887496948242,ps
79,63000,0.1,0.293748140335083,psp
80,56700,0.1,0.2630269527435303,ps
81,8100,0.1,0.037265777587890625,psp
