,m,eps,time,algo,type
0,134400,0.1,1.6864848136901855,ps,rademacher
1,19200,0.1,0.1322040557861328,ps,hoeffding
2,429600,0.1,3.102571964263916,psp,rademacher
3,19200,0.1,0.136519193649292,psp,hoeffding
4,134400,0.1,1.5068731307983398,ps,rademacher
5,19200,0.1,0.1499478816986084,ps,hoeffding
6,405300,0.1,2.8585968017578125,psp,rademacher
7,19200,0.1,0.15890002250671387,psp,hoeffding
8,288000,0.1,3.566533088684082,ps,rademacher
9,19200,0.1,0.14687108993530273,ps,hoeffding
10,212300,0.1,1.470221996307373,psp,rademacher
11,19200,0.1,0.13260173797607422,psp,hoeffding
12,57600,0.1,0.5558488368988037,ps,rademacher
13,19200,0.1,0.12894487380981445,ps,hoeffding
14,227400,0.1,1.5939271450042725,psp,rademacher
15,19200,0.1,0.13175415992736816,psp,hoeffding
16,57600,0.1,0.6096370220184326,ps,rademacher
17,19200,0.1,0.13867688179016113,ps,hoeffding
18,208300,0.1,1.428070068359375,psp,rademacher
19,19200,0.1,0.15184521675109863,psp,hoeffding
20,288000,0.1,3.4052960872650146,ps,rademacher
21,19200,0.1,0.13184809684753418,ps,hoeffding
22,67500,0.1,0.48485279083251953,psp,rademacher
23,19200,0.1,0.14103078842163086,psp,hoeffding
24,57600,0.1,0.5589859485626221,ps,rademacher
25,19200,0.1,0.15260100364685059,ps,hoeffding
26,233500,0.1,1.6641700267791748,psp,rademacher
27,19200,0.1,0.20804476737976074,psp,hoeffding
28,288000,0.1,4.1788341999053955,ps,rademacher
29,19200,0.1,0.15585875511169434,ps,hoeffding
30,237200,0.1,2.0245540142059326,psp,rademacher
31,19200,0.1,0.1948559284210205,psp,hoeffding
32,595200,0.1,9.153512954711914,ps,rademacher
33,19200,0.1,0.1347651481628418,ps,hoeffding
34,408400,0.1,3.1890451908111572,psp,rademacher
35,19200,0.1,0.1441020965576172,psp,hoeffding
36,288000,0.1,3.5499868392944336,ps,rademacher
37,19200,0.1,0.14552879333496094,ps,hoeffding
38,75100,0.1,0.6666901111602783,psp,rademacher
39,19200,0.1,0.13793087005615234,psp,hoeffding
40,1209600,0.1,18.9962317943573,ps,rademacher
41,19200,0.1,0.20086097717285156,ps,hoeffding
42,215400,0.1,1.6710951328277588,psp,rademacher
43,19200,0.1,0.1358201503753662,psp,hoeffding
44,134400,0.1,1.537489891052246,ps,rademacher
45,19200,0.1,0.1373600959777832,ps,hoeffding
46,37200,0.1,0.29000210762023926,psp,rademacher
47,19200,0.1,0.19661998748779297,psp,hoeffding
48,288000,0.1,3.7926740646362305,ps,rademacher
49,19200,0.1,0.14081192016601562,ps,hoeffding
50,214900,0.1,1.4965312480926514,psp,rademacher
51,19200,0.1,0.1513352394104004,psp,hoeffding
52,288000,0.1,3.4258358478546143,ps,rademacher
53,19200,0.1,0.13748717308044434,ps,hoeffding
54,64900,0.1,0.4706261157989502,psp,rademacher
55,19200,0.1,0.15000081062316895,psp,hoeffding
56,288000,0.1,4.269692897796631,ps,rademacher
57,19200,0.1,0.1635730266571045,ps,hoeffding
58,218900,0.1,1.9298830032348633,psp,rademacher
59,19200,0.1,0.14543724060058594,psp,hoeffding
60,134400,0.1,1.6282386779785156,ps,rademacher
61,19200,0.1,0.13821196556091309,ps,hoeffding
62,66100,0.1,0.49854016304016113,psp,rademacher
63,19200,0.1,0.15061020851135254,psp,hoeffding
64,134400,0.1,1.5456149578094482,ps,rademacher
65,19200,0.1,0.14449000358581543,ps,hoeffding
66,126400,0.1,0.9189319610595703,psp,rademacher
67,19200,0.1,0.13288068771362305,psp,hoeffding
68,1209600,0.1,16.65499711036682,ps,rademacher
69,19200,0.1,0.13414239883422852,ps,hoeffding
70,225600,0.1,1.5937926769256592,psp,rademacher
71,19200,0.1,0.16165900230407715,psp,hoeffding
72,1209600,0.1,16.09833788871765,ps,rademacher
73,19200,0.1,0.1464090347290039,ps,hoeffding
74,69500,0.1,0.5393369197845459,psp,rademacher
75,19200,0.1,0.1300511360168457,psp,hoeffding
76,134400,0.1,1.5241289138793945,ps,rademacher
77,19200,0.1,0.1527543067932129,ps,hoeffding
78,39700,0.1,0.2962942123413086,psp,rademacher
79,19200,0.1,0.13478922843933105,psp,hoeffding
80,595200,0.1,7.952693939208984,ps,rademacher
81,19200,0.1,0.1395571231842041,ps,hoeffding
82,124200,0.1,0.867156982421875,psp,rademacher
83,19200,0.1,0.13098907470703125,psp,hoeffding
84,134400,0.1,1.4688770771026611,ps,rademacher
85,19200,0.1,0.13544034957885742,ps,hoeffding
86,116500,0.1,0.8422651290893555,psp,rademacher
87,19200,0.1,0.13597607612609863,psp,hoeffding
88,288000,0.1,3.4627161026000977,ps,rademacher
89,19200,0.1,0.13675785064697266,ps,hoeffding
90,137500,0.1,1.0045361518859863,psp,rademacher
91,19200,0.1,0.14247584342956543,psp,hoeffding
92,2438400,0.1,44.946110010147095,ps,rademacher
93,19200,0.1,0.19388389587402344,ps,hoeffding
94,139600,0.1,1.590731143951416,psp,rademacher
95,19200,0.1,0.2581820487976074,psp,hoeffding
96,134400,0.1,2.434788942337036,ps,rademacher
97,19200,0.1,0.26663994789123535,ps,hoeffding
98,112000,0.1,1.3996479511260986,psp,rademacher
99,19200,0.1,0.22237014770507812,psp,hoeffding
100,288000,0.1,5.995536804199219,ps,rademacher
101,19200,0.1,0.23033595085144043,ps,hoeffding
102,124500,0.1,1.4810140132904053,psp,rademacher
103,19200,0.1,0.2318720817565918,psp,hoeffding
104,288000,0.1,6.105380058288574,ps,rademacher
105,19200,0.1,0.23246192932128906,ps,hoeffding
106,244700,0.1,2.8175301551818848,psp,rademacher
107,19200,0.1,0.20697784423828125,psp,hoeffding
108,288000,0.1,5.652018070220947,ps,rademacher
109,19200,0.1,0.22757983207702637,ps,hoeffding
110,138200,0.1,1.6196668148040771,psp,rademacher
111,19200,0.1,0.24716591835021973,psp,hoeffding
112,134400,0.1,2.4905316829681396,ps,rademacher
113,19200,0.1,0.21539306640625,ps,hoeffding
114,70600,0.1,0.8625710010528564,psp,rademacher
115,19200,0.1,0.22183704376220703,psp,hoeffding
116,595200,0.1,12.469645977020264,ps,rademacher
117,19200,0.1,0.21958184242248535,ps,hoeffding
118,41700,0.1,0.5351932048797607,psp,rademacher
119,19200,0.1,0.2533760070800781,psp,hoeffding
120,288000,0.1,6.78239893913269,ps,rademacher
121,19200,0.1,0.3558669090270996,ps,hoeffding
122,126700,0.1,1.9047231674194336,psp,rademacher
123,19200,0.1,0.24425673484802246,psp,hoeffding
124,1209600,0.1,30.059298038482666,ps,rademacher
125,19200,0.1,0.2418370246887207,ps,hoeffding
126,114000,0.1,1.5737547874450684,psp,rademacher
127,19200,0.1,0.2862429618835449,psp,hoeffding
128,595200,0.1,15.308615922927856,ps,rademacher
129,19200,0.1,0.3289000988006592,ps,hoeffding
130,73900,0.1,1.0575921535491943,psp,rademacher
131,19200,0.1,0.27138710021972656,psp,hoeffding
132,595200,0.1,16.89411997795105,ps,rademacher
133,19200,0.1,0.32450413703918457,ps,hoeffding
134,67900,0.1,1.2640869617462158,psp,rademacher
135,19200,0.1,0.3147702217102051,psp,hoeffding
136,134400,0.1,3.55496883392334,ps,rademacher
137,19200,0.1,0.3182859420776367,ps,hoeffding
138,124200,0.1,2.1384530067443848,psp,rademacher
139,19200,0.1,0.31061410903930664,psp,hoeffding
140,134400,0.1,3.5487418174743652,ps,rademacher
141,19200,0.1,0.3723750114440918,ps,hoeffding
142,40400,0.1,0.7184219360351562,psp,rademacher
143,19200,0.1,0.3454902172088623,psp,hoeffding
144,595200,0.1,17.410547971725464,ps,rademacher
145,19200,0.1,0.28369688987731934,ps,hoeffding
146,39900,0.1,0.607295036315918,psp,rademacher
147,19200,0.1,0.25843191146850586,psp,hoeffding
148,595200,0.1,13.209873914718628,ps,rademacher
149,19200,0.1,0.2354738712310791,ps,hoeffding
150,130000,0.1,1.7230937480926514,psp,rademacher
151,19200,0.1,0.24190402030944824,psp,hoeffding
152,134400,0.1,2.540281057357788,ps,rademacher
153,19200,0.1,0.248063325881958,ps,hoeffding
154,211300,0.1,2.5660672187805176,psp,rademacher
155,19200,0.1,0.2396869659423828,psp,hoeffding
156,134400,0.1,2.5534279346466064,ps,rademacher
157,19200,0.1,0.23085474967956543,ps,hoeffding
158,42600,0.1,0.5786230564117432,psp,rademacher
159,19200,0.1,0.23434901237487793,psp,hoeffding
160,288000,0.1,6.1409947872161865,ps,rademacher
161,19200,0.1,0.24044108390808105,ps,hoeffding
162,150500,0.1,1.8075199127197266,psp,rademacher
163,19200,0.1,0.28456616401672363,psp,hoeffding
164,595200,0.1,13.14824390411377,ps,rademacher
165,19200,0.1,0.24057602882385254,ps,hoeffding
166,209500,0.1,2.8026089668273926,psp,rademacher
167,19200,0.1,0.2737090587615967,psp,hoeffding
168,57600,0.1,1.1490659713745117,ps,rademacher
169,19200,0.1,0.32561397552490234,ps,hoeffding
170,137800,0.1,1.8533787727355957,psp,rademacher
171,19200,0.1,0.2537989616394043,psp,hoeffding
172,288000,0.1,6.773799896240234,ps,rademacher
173,19200,0.1,0.2581210136413574,ps,hoeffding
174,74600,0.1,1.0282418727874756,psp,rademacher
175,19200,0.1,0.27666497230529785,psp,hoeffding
176,595200,0.1,13.13280200958252,ps,rademacher
177,19200,0.1,0.23601889610290527,ps,hoeffding
178,209500,0.1,2.544296979904175,psp,rademacher
179,19200,0.1,0.24433612823486328,psp,hoeffding
180,134400,0.1,2.572525978088379,ps,rademacher
181,19200,0.1,0.22738099098205566,ps,hoeffding
182,116200,0.1,1.4186210632324219,psp,rademacher
183,19200,0.1,0.23615193367004395,psp,hoeffding
184,595200,0.1,13.428238868713379,ps,rademacher
185,19200,0.1,0.2512168884277344,ps,hoeffding
186,137400,0.1,1.7296440601348877,psp,rademacher
187,19200,0.1,0.2522149085998535,psp,hoeffding
188,1209600,0.1,25.752721309661865,ps,rademacher
189,19200,0.1,0.20786428451538086,ps,hoeffding
190,75200,0.1,0.8672451972961426,psp,rademacher
191,19200,0.1,0.21541380882263184,psp,hoeffding
192,57600,0.1,1.0686891078948975,ps,rademacher
193,19200,0.1,0.22006893157958984,ps,hoeffding
194,409100,0.1,5.365084886550903,psp,rademacher
195,19200,0.1,0.2772190570831299,psp,hoeffding
196,1209600,0.1,28.568477869033813,ps,rademacher
197,19200,0.1,0.22527384757995605,ps,hoeffding
198,40500,0.1,0.4712860584259033,psp,rademacher
199,19200,0.1,0.20571303367614746,psp,hoeffding
