,m,eps,time,algo,type
0,19200,0.1,0.2273118495941162,ps,rademacher
1,6400,0.1,0.05593109130859375,ps,hoeffding
2,57100,0.1,0.5235099792480469,psp,rademacher
3,6400,0.1,0.0589907169342041,psp,hoeffding
4,96000,0.1,1.5360169410705566,ps,rademacher
5,6400,0.1,0.05458998680114746,ps,hoeffding
6,30900,0.1,0.3122270107269287,psp,rademacher
7,6400,0.1,0.04943490028381348,psp,hoeffding
8,19200,0.1,0.2622997760772705,ps,rademacher
9,6400,0.1,0.04952383041381836,ps,hoeffding
10,108700,0.1,0.9754629135131836,psp,rademacher
11,6400,0.1,0.05136394500732422,psp,hoeffding
12,19200,0.1,0.3131241798400879,ps,rademacher
13,6400,0.1,0.055145978927612305,ps,hoeffding
14,214300,0.1,1.9416258335113525,psp,rademacher
15,6400,0.1,0.07201099395751953,psp,hoeffding
16,198400,0.1,3.718008041381836,ps,rademacher
17,6400,0.1,0.06422805786132812,ps,hoeffding
18,59200,0.1,0.6711351871490479,psp,rademacher
19,6400,0.1,0.06122708320617676,psp,hoeffding
20,96000,0.1,1.7712318897247314,ps,rademacher
21,6400,0.1,0.0718381404876709,ps,hoeffding
22,217200,0.1,2.2663700580596924,psp,rademacher
23,6400,0.1,0.0676109790802002,psp,hoeffding
24,44800,0.1,0.8650999069213867,ps,rademacher
25,6400,0.1,0.06001710891723633,ps,hoeffding
26,55900,0.1,0.5977129936218262,psp,rademacher
27,6400,0.1,0.08044910430908203,psp,hoeffding
28,19200,0.1,0.30132198333740234,ps,rademacher
29,6400,0.1,0.08982706069946289,ps,hoeffding
30,217500,0.1,2.474947929382324,psp,rademacher
31,6400,0.1,0.06663680076599121,psp,hoeffding
32,198400,0.1,3.9030940532684326,ps,rademacher
33,6400,0.1,0.07166910171508789,ps,hoeffding
34,58100,0.1,0.6065316200256348,psp,rademacher
35,6400,0.1,0.08452868461608887,psp,hoeffding
36,96000,0.1,1.732551097869873,ps,rademacher
37,6400,0.1,0.07977867126464844,ps,hoeffding
38,219400,0.1,2.310966730117798,psp,rademacher
39,6400,0.1,0.05518078804016113,psp,hoeffding
40,96000,0.1,1.9195609092712402,ps,rademacher
41,6400,0.1,0.0675499439239502,ps,hoeffding
42,109300,0.1,1.2100238800048828,psp,rademacher
43,6400,0.1,0.0802922248840332,psp,hoeffding
44,198400,0.1,3.695537805557251,ps,rademacher
45,6400,0.1,0.05376172065734863,ps,hoeffding
46,29700,0.1,0.3016209602355957,psp,rademacher
47,6400,0.1,0.06500911712646484,psp,hoeffding
48,198400,0.1,3.9980108737945557,ps,rademacher
49,6400,0.1,0.07152891159057617,ps,hoeffding
50,110400,0.1,1.3496990203857422,psp,rademacher
51,6400,0.1,0.08112883567810059,psp,hoeffding
52,19200,0.1,0.30338382720947266,ps,rademacher
53,6400,0.1,0.06233978271484375,ps,hoeffding
54,56800,0.1,0.7780578136444092,psp,rademacher
55,6400,0.1,0.09766912460327148,psp,hoeffding
56,96000,0.1,2.136229991912842,ps,rademacher
57,6400,0.1,0.09951305389404297,ps,hoeffding
58,29500,0.1,0.5062739849090576,psp,rademacher
59,6400,0.1,0.07651400566101074,psp,hoeffding
60,19200,0.1,0.31418299674987793,ps,rademacher
61,6400,0.1,0.08864498138427734,ps,hoeffding
62,58000,0.1,0.7169320583343506,psp,rademacher
63,6400,0.1,0.06818222999572754,psp,hoeffding
64,96000,0.1,1.9923362731933594,ps,rademacher
65,6400,0.1,0.07596588134765625,ps,hoeffding
66,56100,0.1,0.6583359241485596,psp,rademacher
67,6400,0.1,0.06577396392822266,psp,hoeffding
68,44800,0.1,0.8355870246887207,ps,rademacher
69,6400,0.1,0.06719207763671875,ps,hoeffding
70,109700,0.1,1.392928123474121,psp,rademacher
