,m,eps,time,algo,type
0,226800,0.1,3.77528715133667,ps,rademacher
1,32400,0.1,0.3369789123535156,ps,hoeffding
2,833400,0.1,9.013797044754028,psp,rademacher
3,32400,0.1,0.3395659923553467,psp,hoeffding
4,1004400,0.1,19.797386169433594,ps,rademacher
5,32400,0.1,0.4262552261352539,ps,hoeffding
6,80200,0.1,1.1756103038787842,psp,rademacher
7,32400,0.1,0.38419008255004883,psp,hoeffding
8,1004400,0.1,21.66173219680786,ps,rademacher
9,32400,0.1,0.3842587471008301,ps,hoeffding
10,433600,0.1,5.188555002212524,psp,rademacher
11,32400,0.1,0.4180331230163574,psp,hoeffding
12,1004400,0.1,23.23671293258667,ps,rademacher
13,32400,0.1,0.3792741298675537,ps,hoeffding
14,74100,0.1,0.9013659954071045,psp,rademacher
15,32400,0.1,0.6195371150970459,psp,hoeffding
16,97200,0.1,2.241997003555298,ps,rademacher
17,32400,0.1,0.4756278991699219,ps,hoeffding
18,235400,0.1,3.4379489421844482,psp,rademacher
19,32400,0.1,0.5752110481262207,psp,hoeffding
20,226800,0.1,5.28839111328125,ps,rademacher
21,32400,0.1,0.4485940933227539,ps,hoeffding
22,416800,0.1,6.041704177856445,psp,rademacher
23,32400,0.1,0.4687979221343994,psp,hoeffding
24,1004400,0.1,24.859668254852295,ps,rademacher
25,32400,0.1,0.46439695358276367,ps,hoeffding
26,124100,0.1,1.8585748672485352,psp,rademacher
27,32400,0.1,0.6351628303527832,psp,hoeffding
28,1004400,0.1,30.75584840774536,ps,rademacher
29,32400,0.1,0.6173429489135742,ps,hoeffding
30,78600,0.1,1.5758368968963623,psp,rademacher
31,32400,0.1,0.5504062175750732,psp,hoeffding
32,97200,0.1,2.025501012802124,ps,rademacher
33,32400,0.1,0.47511982917785645,ps,hoeffding
34,266300,0.1,4.703108787536621,psp,rademacher
35,32400,0.1,0.49002599716186523,psp,hoeffding
36,486000,0.1,11.863247871398926,ps,rademacher
37,32400,0.1,0.4299190044403076,ps,hoeffding
38,245300,0.1,3.093294858932495,psp,rademacher
39,32400,0.1,0.41489100456237793,psp,hoeffding
40,2041200,0.1,48.72083926200867,ps,rademacher
41,32400,0.1,0.40238499641418457,ps,hoeffding
42,75000,0.1,0.989163875579834,psp,rademacher
43,32400,0.1,0.5140712261199951,psp,hoeffding
44,1004400,0.1,22.86086416244507,ps,rademacher
45,32400,0.1,0.4061598777770996,ps,hoeffding
46,80100,0.1,1.0389270782470703,psp,rademacher
47,32400,0.1,0.382235050201416,psp,hoeffding
48,97200,0.1,1.6633548736572266,ps,rademacher
49,32400,0.1,0.39940595626831055,ps,hoeffding
50,233200,0.1,3.1324779987335205,psp,rademacher
51,32400,0.1,0.4067049026489258,psp,hoeffding
52,97200,0.1,1.7248141765594482,ps,rademacher
53,32400,0.1,0.38734889030456543,ps,hoeffding
54,244200,0.1,3.3137571811676025,psp,rademacher
55,32400,0.1,0.4143059253692627,psp,hoeffding
56,486000,0.1,10.493603706359863,ps,rademacher
57,32400,0.1,0.3779120445251465,ps,hoeffding
58,235100,0.1,2.869194984436035,psp,rademacher
59,32400,0.1,0.35993409156799316,psp,hoeffding
60,226800,0.1,4.017396926879883,ps,rademacher
61,32400,0.1,0.3762061595916748,ps,hoeffding
62,825100,0.1,9.27790379524231,psp,rademacher
63,32400,0.1,0.367067813873291,psp,hoeffding
64,486000,0.1,11.03631591796875,ps,rademacher
65,32400,0.1,0.4763979911804199,ps,hoeffding
66,224100,0.1,2.835994005203247,psp,rademacher
67,32400,0.1,0.3625178337097168,psp,hoeffding
68,486000,0.1,11.685282945632935,ps,rademacher
69,32400,0.1,0.41657495498657227,ps,hoeffding
70,838000,0.1,10.020736932754517,psp,rademacher
71,32400,0.1,0.37911319732666016,psp,hoeffding
72,486000,0.1,9.449471950531006,ps,rademacher
73,32400,0.1,0.36205434799194336,ps,hoeffding
74,130100,0.1,1.5536410808563232,psp,rademacher
75,32400,0.1,0.41048502922058105,psp,hoeffding
76,226800,0.1,4.0337748527526855,ps,rademacher
77,32400,0.1,0.3663361072540283,ps,hoeffding
78,866800,0.1,9.675703048706055,psp,rademacher
79,32400,0.1,0.36849164962768555,psp,hoeffding
80,1004400,0.1,20.4427649974823,ps,rademacher
81,32400,0.1,0.36416101455688477,ps,hoeffding
82,240700,0.1,2.7225260734558105,psp,rademacher
83,32400,0.1,0.3619272708892822,psp,hoeffding
84,486000,0.1,9.340728044509888,ps,rademacher
85,32400,0.1,0.3614020347595215,ps,hoeffding
86,140400,0.1,1.6093928813934326,psp,rademacher
87,32400,0.1,0.46680593490600586,psp,hoeffding
88,97200,0.1,1.4929909706115723,ps,rademacher
89,32400,0.1,0.38619184494018555,ps,hoeffding
90,470900,0.1,5.246788024902344,psp,rademacher
91,32400,0.1,0.36057496070861816,psp,hoeffding
92,226800,0.1,4.007941007614136,ps,rademacher
93,32400,0.1,0.3778676986694336,ps,hoeffding
94,75600,0.1,0.8872213363647461,psp,rademacher
95,32400,0.1,0.380328893661499,psp,hoeffding
96,226800,0.1,4.004766941070557,ps,rademacher
97,32400,0.1,0.3662121295928955,ps,hoeffding
98,219900,0.1,2.496854066848755,psp,rademacher
99,32400,0.1,0.3557240962982178,psp,hoeffding
100,1004400,0.1,20.322904109954834,ps,rademacher
101,32400,0.1,0.3852529525756836,ps,hoeffding
102,131100,0.1,1.515735149383545,psp,rademacher
103,32400,0.1,0.365631103515625,psp,hoeffding
104,1004400,0.1,20.31083607673645,ps,rademacher
105,32400,0.1,0.3639390468597412,ps,hoeffding
106,119200,0.1,1.4000380039215088,psp,rademacher
107,32400,0.1,0.3623068332672119,psp,hoeffding
108,486000,0.1,9.311777830123901,ps,rademacher
109,32400,0.1,0.36552929878234863,ps,hoeffding
110,822000,0.1,9.04773998260498,psp,rademacher
111,32400,0.1,0.36414384841918945,psp,hoeffding
112,486000,0.1,9.34104585647583,ps,rademacher
