,m,eps,time,algo
0,12000,0.1,0.07463884353637695,ps
1,4300,0.1,0.016216754913330078,psp
2,12000,0.1,0.06209588050842285,ps
3,2300,0.1,0.00730133056640625,psp
4,24800,0.1,0.1460261344909668,ps
5,2300,0.1,0.008508920669555664,psp
6,24800,0.1,0.14820194244384766,ps
7,2300,0.1,0.008925914764404297,psp
8,24800,0.1,0.14398694038391113,ps
9,4500,0.1,0.015655994415283203,psp
10,24800,0.1,0.14223074913024902,ps
11,2300,0.1,0.007834196090698242,psp
12,5600,0.1,0.031371116638183594,ps
13,2300,0.1,0.007257938385009766,psp
14,5600,0.1,0.04271268844604492,ps
15,16300,0.1,0.05531716346740723,psp
16,2400,0.1,0.011083126068115234,ps
17,4300,0.1,0.012833118438720703,psp
18,2400,0.1,0.01208186149597168,ps
19,8300,0.1,0.025319814682006836,psp
20,5600,0.1,0.028229951858520508,ps
21,4300,0.1,0.015559196472167969,psp
22,12000,0.1,0.0677649974822998,ps
23,2300,0.1,0.011029958724975586,psp
24,12000,0.1,0.08103394508361816,ps
25,2300,0.1,0.007214069366455078,psp
26,5600,0.1,0.03106403350830078,ps
27,2300,0.1,0.006979227066040039,psp
28,12000,0.1,0.06639218330383301,ps
29,2300,0.1,0.008482933044433594,psp
30,24800,0.1,0.15668821334838867,ps
31,8300,0.1,0.02682185173034668,psp
32,2400,0.1,0.013440132141113281,ps
33,4300,0.1,0.018822193145751953,psp
34,5600,0.1,0.03484702110290527,ps
35,8300,0.1,0.026131153106689453,psp
36,5600,0.1,0.041615962982177734,ps
37,4300,0.1,0.013881683349609375,psp
38,5600,0.1,0.027186870574951172,ps
39,8300,0.1,0.027677059173583984,psp
40,2400,0.1,0.012687921524047852,ps
41,4300,0.1,0.014549970626831055,psp
42,12000,0.1,0.0675208568572998,ps
43,2300,0.1,0.008220911026000977,psp
44,12000,0.1,0.06663727760314941,ps
45,8300,0.1,0.02616095542907715,psp
46,5600,0.1,0.03468203544616699,ps
47,8300,0.1,0.030298948287963867,psp
48,12000,0.1,0.06678915023803711,ps
49,4300,0.1,0.014410018920898438,psp
50,5600,0.1,0.031152009963989258,ps
51,4300,0.1,0.015601873397827148,psp
52,5600,0.1,0.028393983840942383,ps
53,2300,0.1,0.008079051971435547,psp
54,2400,0.1,0.011886119842529297,ps
55,2300,0.1,0.010057926177978516,psp
56,5600,0.1,0.032315969467163086,ps
57,4300,0.1,0.013013362884521484,psp
58,5600,0.1,0.03215789794921875,ps
59,2300,0.1,0.008729696273803711,psp
60,12000,0.1,0.06948471069335938,ps
61,2300,0.1,0.007050991058349609,psp
62,24800,0.1,0.14316987991333008,ps
63,2300,0.1,0.007433891296386719,psp
64,5600,0.1,0.028948068618774414,ps
65,2300,0.1,0.009039878845214844,psp
66,12000,0.1,0.06850099563598633,ps
67,2300,0.1,0.007153034210205078,psp
68,5600,0.1,0.026846885681152344,ps
69,4300,0.1,0.013379812240600586,psp
70,5600,0.1,0.030723094940185547,ps
71,2300,0.1,0.009805917739868164,psp
72,12000,0.1,0.06641077995300293,ps
73,800,0.1,0.0036420822143554688,psp
74,5600,0.1,0.033380985260009766,ps
75,2300,0.1,0.007359981536865234,psp
76,12000,0.1,0.06770706176757812,ps
77,4300,0.1,0.01605987548828125,psp
78,12000,0.1,0.07170724868774414,ps
79,2500,0.1,0.008493900299072266,psp
80,12000,0.1,0.06368589401245117,ps
81,8300,0.1,0.025267839431762695,psp
82,12000,0.1,0.06796383857727051,ps
83,16300,0.1,0.05633211135864258,psp
84,5600,0.1,0.028682947158813477,ps
85,2300,0.1,0.00892782211303711,psp
86,5600,0.1,0.029502153396606445,ps
87,2300,0.1,0.007302045822143555,psp
88,5600,0.1,0.028878211975097656,ps
89,2300,0.1,0.007329225540161133,psp
90,12000,0.1,0.0651700496673584,ps
91,2400,0.1,0.010582923889160156,psp
92,12000,0.1,0.06924700736999512,ps
93,2300,0.1,0.00728607177734375,psp
94,5600,0.1,0.029619932174682617,ps
95,4300,0.1,0.013068914413452148,psp
96,2400,0.1,0.011647939682006836,ps
97,2300,0.1,0.008521080017089844,psp
98,5600,0.1,0.029622793197631836,ps
