,m,eps,time,algo,type
0,5600,0.1,0.028167724609375,ps,rademacher
1,800,0.1,0.002404928207397461,ps,hoeffding
2,1400,0.1,0.0076007843017578125,psp,rademacher
3,800,0.1,0.0032472610473632812,psp,hoeffding
4,24800,0.1,0.17128205299377441,ps,rademacher
5,800,0.1,0.0023360252380371094,ps,hoeffding
6,2600,0.1,0.009807825088500977,psp,rademacher
7,800,0.1,0.004271745681762695,psp,hoeffding
8,2400,0.1,0.011159896850585938,ps,rademacher
9,800,0.1,0.002404928207397461,ps,hoeffding
10,1200,0.1,0.004048824310302734,psp,rademacher
11,800,0.1,0.0023260116577148438,psp,hoeffding
12,24800,0.1,0.14738893508911133,ps,rademacher
13,800,0.1,0.0035681724548339844,ps,hoeffding
14,3600,0.1,0.012111186981201172,psp,rademacher
15,800,0.1,0.002502918243408203,psp,hoeffding
16,5600,0.1,0.02783679962158203,ps,rademacher
17,800,0.1,0.004302978515625,ps,hoeffding
18,1400,0.1,0.005730867385864258,psp,rademacher
19,800,0.1,0.002777099609375,psp,hoeffding
20,24800,0.1,0.16851472854614258,ps,rademacher
21,800,0.1,0.002936124801635742,ps,hoeffding
22,800,0.1,0.003412008285522461,psp,rademacher
23,800,0.1,0.003845691680908203,psp,hoeffding
24,5600,0.1,0.0366818904876709,ps,rademacher
25,800,0.1,0.0050487518310546875,ps,hoeffding
26,1200,0.1,0.007260322570800781,psp,rademacher
27,800,0.1,0.003269195556640625,psp,hoeffding
28,12000,0.1,0.12031292915344238,ps,rademacher
29,800,0.1,0.003998994827270508,ps,hoeffding
30,1400,0.1,0.007203102111816406,psp,rademacher
31,800,0.1,0.004142045974731445,psp,hoeffding
32,12000,0.1,0.11461496353149414,ps,rademacher
33,800,0.1,0.004310131072998047,ps,hoeffding
34,3800,0.1,0.021079063415527344,psp,rademacher
35,800,0.1,0.003476858139038086,psp,hoeffding
36,12000,0.1,0.1180429458618164,ps,rademacher
37,800,0.1,0.00418400764465332,ps,hoeffding
38,1400,0.1,0.008431196212768555,psp,rademacher
39,800,0.1,0.0039520263671875,psp,hoeffding
40,5600,0.1,0.056671857833862305,ps,rademacher
41,800,0.1,0.003059864044189453,ps,hoeffding
42,2200,0.1,0.013673782348632812,psp,rademacher
43,800,0.1,0.003412961959838867,psp,hoeffding
44,2400,0.1,0.013930082321166992,ps,rademacher
45,800,0.1,0.0028679370880126953,ps,hoeffding
46,2000,0.1,0.007797956466674805,psp,rademacher
47,800,0.1,0.005134105682373047,psp,hoeffding
48,5600,0.1,0.03935408592224121,ps,rademacher
49,800,0.1,0.005037069320678711,ps,hoeffding
50,1400,0.1,0.007940053939819336,psp,rademacher
51,800,0.1,0.004042148590087891,psp,hoeffding
52,5600,0.1,0.05518007278442383,ps,rademacher
53,800,0.1,0.0023488998413085938,ps,hoeffding
54,1400,0.1,0.004753828048706055,psp,rademacher
55,800,0.1,0.004508256912231445,psp,hoeffding
56,5600,0.1,0.034487009048461914,ps,rademacher
57,800,0.1,0.0046350955963134766,ps,hoeffding
58,1200,0.1,0.0076940059661865234,psp,rademacher
59,800,0.1,0.0041468143463134766,psp,hoeffding
60,2400,0.1,0.021203994750976562,ps,rademacher
61,800,0.1,0.0023190975189208984,ps,hoeffding
62,4200,0.1,0.024888992309570312,psp,rademacher
63,800,0.1,0.002337932586669922,psp,hoeffding
64,12000,0.1,0.11506319046020508,ps,rademacher
65,800,0.1,0.003256082534790039,ps,hoeffding
66,1200,0.1,0.007880926132202148,psp,rademacher
67,800,0.1,0.005023002624511719,psp,hoeffding
68,12000,0.1,0.09951305389404297,ps,rademacher
69,800,0.1,0.0048220157623291016,ps,hoeffding
70,4300,0.1,0.023057937622070312,psp,rademacher
71,800,0.1,0.002577066421508789,psp,hoeffding
72,5600,0.1,0.05486321449279785,ps,rademacher
73,800,0.1,0.002457141876220703,ps,hoeffding
74,1200,0.1,0.0057599544525146484,psp,rademacher
75,800,0.1,0.0037391185760498047,psp,hoeffding
76,12000,0.1,0.12000584602355957,ps,rademacher
77,800,0.1,0.004804134368896484,ps,hoeffding
78,2400,0.1,0.013653993606567383,psp,rademacher
79,800,0.1,0.0049343109130859375,psp,hoeffding
80,12000,0.1,0.1238703727722168,ps,rademacher
81,800,0.1,0.005379915237426758,ps,hoeffding
82,1400,0.1,0.006379842758178711,psp,rademacher
83,800,0.1,0.003860950469970703,psp,hoeffding
84,24800,0.1,0.24722933769226074,ps,rademacher
85,800,0.1,0.0023200511932373047,ps,hoeffding
86,2200,0.1,0.00736689567565918,psp,rademacher
87,800,0.1,0.0057659149169921875,psp,hoeffding
88,12000,0.1,0.11913919448852539,ps,rademacher
89,800,0.1,0.004662990570068359,ps,hoeffding
90,4400,0.1,0.03257393836975098,psp,rademacher
91,800,0.1,0.004148960113525391,psp,hoeffding
92,12000,0.1,0.10499405860900879,ps,rademacher
93,800,0.1,0.004476785659790039,ps,hoeffding
94,8200,0.1,0.03999614715576172,psp,rademacher
95,800,0.1,0.004349231719970703,psp,hoeffding
96,24800,0.1,0.21006083488464355,ps,rademacher
97,800,0.1,0.004509925842285156,ps,hoeffding
98,2600,0.1,0.010783910751342773,psp,rademacher
99,800,0.1,0.0056650638580322266,psp,hoeffding
100,2400,0.1,0.01632213592529297,ps,rademacher
101,800,0.1,0.006158113479614258,ps,hoeffding
102,1400,0.1,0.010677099227905273,psp,rademacher
103,800,0.1,0.004435062408447266,psp,hoeffding
104,24800,0.1,0.20098400115966797,ps,rademacher
105,800,0.1,0.004541873931884766,ps,hoeffding
106,1400,0.1,0.008199930191040039,psp,rademacher
107,800,0.1,0.002334117889404297,psp,hoeffding
108,12000,0.1,0.11241602897644043,ps,rademacher
109,800,0.1,0.005103111267089844,ps,hoeffding
110,5000,0.1,0.019346952438354492,psp,rademacher
111,800,0.1,0.006379127502441406,psp,hoeffding
112,2400,0.1,0.020525217056274414,ps,rademacher
113,800,0.1,0.0025327205657958984,ps,hoeffding
114,1200,0.1,0.009610891342163086,psp,rademacher
115,800,0.1,0.0049097537994384766,psp,hoeffding
116,24800,0.1,0.22606110572814941,ps,rademacher
117,800,0.1,0.004040956497192383,ps,hoeffding
118,3800,0.1,0.018848896026611328,psp,rademacher
119,800,0.1,0.004372119903564453,psp,hoeffding
120,5600,0.1,0.04663395881652832,ps,rademacher
121,800,0.1,0.0034949779510498047,ps,hoeffding
122,2300,0.1,0.009207010269165039,psp,rademacher
123,800,0.1,0.007943153381347656,psp,hoeffding
124,5600,0.1,0.05301713943481445,ps,rademacher
125,800,0.1,0.005003929138183594,ps,hoeffding
126,3600,0.1,0.02083301544189453,psp,rademacher
127,800,0.1,0.005544900894165039,psp,hoeffding
128,12000,0.1,0.10382914543151855,ps,rademacher
129,800,0.1,0.004450798034667969,ps,hoeffding
130,1200,0.1,0.007886648178100586,psp,rademacher
131,800,0.1,0.0044705867767333984,psp,hoeffding
132,2400,0.1,0.019559144973754883,ps,rademacher
133,800,0.1,0.00448298454284668,ps,hoeffding
134,2000,0.1,0.01383209228515625,psp,rademacher
135,800,0.1,0.0040740966796875,psp,hoeffding
136,50400,0.1,0.4344017505645752,ps,rademacher
137,800,0.1,0.0038251876831054688,ps,hoeffding
138,800,0.1,0.00455784797668457,psp,rademacher
139,800,0.1,0.0066640377044677734,psp,hoeffding
140,5600,0.1,0.052420854568481445,ps,rademacher
141,800,0.1,0.004542827606201172,ps,hoeffding
142,2000,0.1,0.008685111999511719,psp,rademacher
143,800,0.1,0.003197908401489258,psp,hoeffding
144,2400,0.1,0.013396978378295898,ps,rademacher
145,800,0.1,0.004495143890380859,ps,hoeffding
146,4200,0.1,0.030353069305419922,psp,rademacher
147,800,0.1,0.004843950271606445,psp,hoeffding
148,5600,0.1,0.05565977096557617,ps,rademacher
149,800,0.1,0.0050008296966552734,ps,hoeffding
150,1200,0.1,0.008309125900268555,psp,rademacher
151,800,0.1,0.004462003707885742,psp,hoeffding
152,12000,0.1,0.12531685829162598,ps,rademacher
153,800,0.1,0.0023360252380371094,ps,hoeffding
154,2600,0.1,0.014193058013916016,psp,rademacher
155,800,0.1,0.004044055938720703,psp,hoeffding
156,5600,0.1,0.03646373748779297,ps,rademacher
157,800,0.1,0.00519871711730957,ps,hoeffding
158,2000,0.1,0.007277965545654297,psp,rademacher
159,800,0.1,0.004538774490356445,psp,hoeffding
160,12000,0.1,0.10182809829711914,ps,rademacher
161,800,0.1,0.0044019222259521484,ps,hoeffding
162,1400,0.1,0.006866931915283203,psp,rademacher
163,800,0.1,0.002357006072998047,psp,hoeffding
164,5600,0.1,0.05736112594604492,ps,rademacher
165,800,0.1,0.0031747817993164062,ps,hoeffding
166,5000,0.1,0.022954940795898438,psp,rademacher
167,800,0.1,0.0023479461669921875,psp,hoeffding
168,50400,0.1,0.42917609214782715,ps,rademacher
169,800,0.1,0.004594087600708008,ps,hoeffding
170,1400,0.1,0.0077970027923583984,psp,rademacher
171,800,0.1,0.004366636276245117,psp,hoeffding
172,24800,0.1,0.19919729232788086,ps,rademacher
173,800,0.1,0.004014015197753906,ps,hoeffding
174,1400,0.1,0.008185148239135742,psp,rademacher
175,800,0.1,0.0022962093353271484,psp,hoeffding
176,5600,0.1,0.051362037658691406,ps,rademacher
177,800,0.1,0.004563093185424805,ps,hoeffding
178,2600,0.1,0.013447046279907227,psp,rademacher
179,800,0.1,0.004347085952758789,psp,hoeffding
180,2400,0.1,0.01891016960144043,ps,rademacher
181,800,0.1,0.0023069381713867188,ps,hoeffding
182,800,0.1,0.0029189586639404297,psp,rademacher
183,800,0.1,0.004703998565673828,psp,hoeffding
184,2400,0.1,0.02045607566833496,ps,rademacher
185,800,0.1,0.004516124725341797,ps,hoeffding
186,1300,0.1,0.004333019256591797,psp,rademacher
187,800,0.1,0.005096912384033203,psp,hoeffding
188,12000,0.1,0.11513686180114746,ps,rademacher
189,800,0.1,0.003083944320678711,ps,hoeffding
190,1400,0.1,0.008120059967041016,psp,rademacher
191,800,0.1,0.0023250579833984375,psp,hoeffding
192,50400,0.1,0.4680612087249756,ps,rademacher
193,800,0.1,0.004502058029174805,ps,hoeffding
194,2200,0.1,0.01279902458190918,psp,rademacher
195,800,0.1,0.004309892654418945,psp,hoeffding
196,24800,0.1,0.2173759937286377,ps,rademacher
197,800,0.1,0.0023140907287597656,ps,hoeffding
198,2600,0.1,0.019718170166015625,psp,rademacher
199,800,0.1,0.002393960952758789,psp,hoeffding
200,2400,0.1,0.01376795768737793,ps,rademacher
201,800,0.1,0.002546072006225586,ps,hoeffding
202,13300,0.1,0.07934904098510742,psp,rademacher
203,800,0.1,0.004395961761474609,psp,hoeffding
204,12000,0.1,0.10835409164428711,ps,rademacher
205,800,0.1,0.0024483203887939453,ps,hoeffding
206,1400,0.1,0.008917093276977539,psp,rademacher
207,800,0.1,0.004888057708740234,psp,hoeffding
208,24800,0.1,0.21222925186157227,ps,rademacher
209,800,0.1,0.0023517608642578125,ps,hoeffding
210,3600,0.1,0.02051091194152832,psp,rademacher
211,800,0.1,0.0030760765075683594,psp,hoeffding
212,24800,0.1,0.22877192497253418,ps,rademacher
213,800,0.1,0.0043621063232421875,ps,hoeffding
214,1200,0.1,0.004491090774536133,psp,rademacher
215,800,0.1,0.0023190975189208984,psp,hoeffding
216,5600,0.1,0.03861403465270996,ps,rademacher
217,800,0.1,0.004628896713256836,ps,hoeffding
218,1400,0.1,0.007503032684326172,psp,rademacher
219,800,0.1,0.0043659210205078125,psp,hoeffding
220,12000,0.1,0.11302924156188965,ps,rademacher
221,800,0.1,0.0039000511169433594,ps,hoeffding
222,1200,0.1,0.005045890808105469,psp,rademacher
223,800,0.1,0.0026988983154296875,psp,hoeffding
224,101600,0.1,1.0986878871917725,ps,rademacher
225,800,0.1,0.003995180130004883,ps,hoeffding
226,1400,0.1,0.009023904800415039,psp,rademacher
227,800,0.1,0.004372835159301758,psp,hoeffding
228,2400,0.1,0.015278100967407227,ps,rademacher
229,800,0.1,0.002393960952758789,ps,hoeffding
230,1400,0.1,0.004904985427856445,psp,rademacher
231,800,0.1,0.0044138431549072266,psp,hoeffding
232,2400,0.1,0.02147674560546875,ps,rademacher
233,800,0.1,0.004418849945068359,ps,hoeffding
234,5000,0.1,0.03433799743652344,psp,rademacher
235,800,0.1,0.004825115203857422,psp,hoeffding
236,12000,0.1,0.10030889511108398,ps,rademacher
237,800,0.1,0.004520893096923828,ps,hoeffding
238,1200,0.1,0.008699178695678711,psp,rademacher
239,800,0.1,0.004483222961425781,psp,hoeffding
240,5600,0.1,0.07278609275817871,ps,rademacher
241,800,0.1,0.005394935607910156,ps,hoeffding
242,2100,0.1,0.015864133834838867,psp,rademacher
243,800,0.1,0.0050890445709228516,psp,hoeffding
244,12000,0.1,0.14896821975708008,ps,rademacher
245,800,0.1,0.005995035171508789,ps,hoeffding
246,800,0.1,0.0050160884857177734,psp,rademacher
247,800,0.1,0.004837989807128906,psp,hoeffding
248,12000,0.1,0.1363990306854248,ps,rademacher
249,800,0.1,0.002315044403076172,ps,hoeffding
250,2000,0.1,0.012947797775268555,psp,rademacher
251,800,0.1,0.0041539669036865234,psp,hoeffding
252,24800,0.1,0.19882678985595703,ps,rademacher
253,800,0.1,0.004359006881713867,ps,hoeffding
254,13200,0.1,0.06062817573547363,psp,rademacher
255,800,0.1,0.0045239925384521484,psp,hoeffding
256,24800,0.1,0.2816162109375,ps,rademacher
257,800,0.1,0.0026221275329589844,ps,hoeffding
258,2600,0.1,0.016170024871826172,psp,rademacher
259,800,0.1,0.002328634262084961,psp,hoeffding
260,2400,0.1,0.024231910705566406,ps,rademacher
261,800,0.1,0.006088733673095703,ps,hoeffding
262,800,0.1,0.0052030086517333984,psp,rademacher
263,800,0.1,0.0045702457427978516,psp,hoeffding
264,24800,0.1,0.21222186088562012,ps,rademacher
265,800,0.1,0.003716707229614258,ps,hoeffding
266,7000,0.1,0.036840200424194336,psp,rademacher
267,800,0.1,0.00521397590637207,psp,hoeffding
268,2400,0.1,0.021755218505859375,ps,rademacher
269,800,0.1,0.0032739639282226562,ps,hoeffding
270,1200,0.1,0.008819103240966797,psp,rademacher
271,800,0.1,0.0052449703216552734,psp,hoeffding
272,24800,0.1,0.22114896774291992,ps,rademacher
273,800,0.1,0.004411935806274414,ps,hoeffding
274,2000,0.1,0.008075952529907227,psp,rademacher
275,800,0.1,0.004743099212646484,psp,hoeffding
276,24800,0.1,0.3216259479522705,ps,rademacher
277,800,0.1,0.0054509639739990234,ps,hoeffding
278,2600,0.1,0.017565011978149414,psp,rademacher
279,800,0.1,0.004575014114379883,psp,hoeffding
