,m,eps,time,algo,type
0,55800,0.1,0.4508180618286133,ps,rademacher
1,1800,0.1,0.009137868881225586,ps,hoeffding
2,26600,0.1,0.1483290195465088,psp,rademacher
3,1800,0.1,0.008127927780151367,psp,hoeffding
4,113400,0.1,1.035832166671753,ps,rademacher
5,1800,0.1,0.008265972137451172,ps,hoeffding
6,7800,0.1,0.04472208023071289,psp,rademacher
7,1800,0.1,0.011837959289550781,psp,hoeffding
8,27000,0.1,0.2070310115814209,ps,rademacher
9,1800,0.1,0.004870176315307617,ps,hoeffding
10,14900,0.1,0.07096409797668457,psp,rademacher
11,1800,0.1,0.005639791488647461,psp,hoeffding
12,55800,0.1,0.41997313499450684,ps,rademacher
13,1800,0.1,0.0109100341796875,ps,hoeffding
14,13800,0.1,0.07510709762573242,psp,rademacher
15,1800,0.1,0.007007122039794922,psp,hoeffding
16,55800,0.1,0.4147367477416992,ps,rademacher
17,1800,0.1,0.015452861785888672,ps,hoeffding
18,7800,0.1,0.03511309623718262,psp,rademacher
19,1800,0.1,0.009944915771484375,psp,hoeffding
20,12600,0.1,0.07976794242858887,ps,rademacher
21,1800,0.1,0.010991811752319336,ps,hoeffding
22,14600,0.1,0.07061386108398438,psp,rademacher
23,1800,0.1,0.008484125137329102,psp,hoeffding
24,27000,0.1,0.2242879867553711,ps,rademacher
25,1800,0.1,0.009003877639770508,ps,hoeffding
26,14700,0.1,0.07234907150268555,psp,rademacher
27,1800,0.1,0.008202075958251953,psp,hoeffding
28,55800,0.1,0.3948547840118408,ps,rademacher
29,1800,0.1,0.012664794921875,ps,hoeffding
30,26600,0.1,0.1102302074432373,psp,rademacher
31,1800,0.1,0.0062389373779296875,psp,hoeffding
32,5400,0.1,0.03128194808959961,ps,rademacher
33,1800,0.1,0.01082301139831543,ps,hoeffding
34,15700,0.1,0.07375001907348633,psp,rademacher
35,1800,0.1,0.008903980255126953,psp,hoeffding
36,228600,0.1,1.9979157447814941,ps,rademacher
37,1800,0.1,0.005141019821166992,ps,hoeffding
38,26600,0.1,0.101959228515625,psp,rademacher
39,1800,0.1,0.005010843276977539,psp,hoeffding
40,12600,0.1,0.10789704322814941,ps,rademacher
41,1800,0.1,0.008502960205078125,ps,hoeffding
42,27200,0.1,0.11860013008117676,psp,rademacher
43,1800,0.1,0.005284786224365234,psp,hoeffding
44,27000,0.1,0.211867094039917,ps,rademacher
45,1800,0.1,0.005988121032714844,ps,hoeffding
46,27900,0.1,0.13028407096862793,psp,rademacher
47,1800,0.1,0.004975080490112305,psp,hoeffding
48,27000,0.1,0.2030649185180664,ps,rademacher
49,1800,0.1,0.009953975677490234,ps,hoeffding
50,14400,0.1,0.06455397605895996,psp,rademacher
51,1800,0.1,0.009706974029541016,psp,hoeffding
52,55800,0.1,0.4382359981536865,ps,rademacher
53,1800,0.1,0.010593175888061523,ps,hoeffding
54,16900,0.1,0.0976099967956543,psp,rademacher
55,1800,0.1,0.015372037887573242,psp,hoeffding
56,228600,0.1,2.267210006713867,ps,rademacher
57,1800,0.1,0.005825042724609375,ps,hoeffding
58,13800,0.1,0.09520626068115234,psp,rademacher
59,1800,0.1,0.010358095169067383,psp,hoeffding
60,12600,0.1,0.1231088638305664,ps,rademacher
61,1800,0.1,0.0048329830169677734,ps,hoeffding
62,27000,0.1,0.13316607475280762,psp,rademacher
63,1800,0.1,0.008315801620483398,psp,hoeffding
64,55800,0.1,0.44295382499694824,ps,rademacher
65,1800,0.1,0.00860595703125,ps,hoeffding
66,26900,0.1,0.1344759464263916,psp,rademacher
67,1800,0.1,0.011236906051635742,psp,hoeffding
68,55800,0.1,0.674778938293457,ps,rademacher
69,1800,0.1,0.013867855072021484,ps,hoeffding
70,26900,0.1,0.14668011665344238,psp,rademacher
71,1800,0.1,0.009816884994506836,psp,hoeffding
72,12600,0.1,0.11584210395812988,ps,rademacher
73,1800,0.1,0.0060961246490478516,ps,hoeffding
74,9800,0.1,0.051703691482543945,psp,rademacher
75,1800,0.1,0.008958816528320312,psp,hoeffding
76,55800,0.1,0.5780942440032959,ps,rademacher
77,1800,0.1,0.009968996047973633,ps,hoeffding
78,26600,0.1,0.11539912223815918,psp,rademacher
79,1800,0.1,0.005959987640380859,psp,hoeffding
80,55800,0.1,0.5594449043273926,ps,rademacher
81,1800,0.1,0.008832931518554688,ps,hoeffding
82,14200,0.1,0.057398080825805664,psp,rademacher
83,1800,0.1,0.010626077651977539,psp,hoeffding
84,27000,0.1,0.22362995147705078,ps,rademacher
85,1800,0.1,0.010990142822265625,ps,hoeffding
86,7500,0.1,0.04095602035522461,psp,rademacher
87,1800,0.1,0.010295867919921875,psp,hoeffding
88,113400,0.1,0.9745359420776367,ps,rademacher
89,1800,0.1,0.007819890975952148,ps,hoeffding
90,26600,0.1,0.09627795219421387,psp,rademacher
91,1800,0.1,0.004769086837768555,psp,hoeffding
92,55800,0.1,0.4360060691833496,ps,rademacher
93,1800,0.1,0.010917901992797852,ps,hoeffding
