,m,eps,time,algo,type
0,7200,0.1,0.0410151481628418,ps,rademacher
1,2400,0.1,0.01385188102722168,ps,hoeffding
2,13200,0.1,0.07391500473022461,psp,rademacher
3,2400,0.1,0.013277053833007812,psp,hoeffding
4,16800,0.1,0.1099250316619873,ps,rademacher
5,2400,0.1,0.012784719467163086,ps,hoeffding
6,45800,0.1,0.2096560001373291,psp,rademacher
7,2400,0.1,0.0070590972900390625,psp,hoeffding
8,16800,0.1,0.12822484970092773,ps,rademacher
9,2400,0.1,0.010001897811889648,ps,hoeffding
10,7300,0.1,0.031110763549804688,psp,rademacher
11,2400,0.1,0.012058734893798828,psp,hoeffding
12,16800,0.1,0.12720108032226562,ps,rademacher
13,2400,0.1,0.008345842361450195,ps,hoeffding
14,13200,0.1,0.06686592102050781,psp,rademacher
15,2400,0.1,0.0074350833892822266,psp,hoeffding
16,16800,0.1,0.1127479076385498,ps,rademacher
17,2400,0.1,0.010703802108764648,ps,hoeffding
18,45800,0.1,0.17476415634155273,psp,rademacher
19,2400,0.1,0.008255958557128906,psp,hoeffding
20,16800,0.1,0.12862801551818848,ps,rademacher
21,2400,0.1,0.014104843139648438,ps,hoeffding
22,46000,0.1,0.2139430046081543,psp,rademacher
23,2400,0.1,0.01669001579284668,psp,hoeffding
24,16800,0.1,0.11652302742004395,ps,rademacher
25,2400,0.1,0.011227846145629883,ps,hoeffding
26,2400,0.1,0.013321161270141602,psp,rademacher
27,2400,0.1,0.013247013092041016,psp,hoeffding
28,74400,0.1,0.5997629165649414,ps,rademacher
29,2400,0.1,0.010354995727539062,ps,hoeffding
30,90600,0.1,0.39148688316345215,psp,rademacher
31,2400,0.1,0.009829044342041016,psp,hoeffding
32,36000,0.1,0.2983250617980957,ps,rademacher
33,2400,0.1,0.00791788101196289,ps,hoeffding
34,12200,0.1,0.05317831039428711,psp,rademacher
35,2400,0.1,0.010827064514160156,psp,hoeffding
36,74400,0.1,0.6183040142059326,ps,rademacher
37,2400,0.1,0.013076066970825195,ps,hoeffding
38,90800,0.1,0.3882589340209961,psp,rademacher
39,2400,0.1,0.013090133666992188,psp,hoeffding
40,36000,0.1,0.3144950866699219,ps,rademacher
41,2400,0.1,0.007774829864501953,ps,hoeffding
42,12900,0.1,0.06358599662780762,psp,rademacher
43,2400,0.1,0.011696100234985352,psp,hoeffding
44,74400,0.1,0.5942840576171875,ps,rademacher
45,2400,0.1,0.006142377853393555,ps,hoeffding
46,12400,0.1,0.05141568183898926,psp,rademacher
47,2400,0.1,0.009409904479980469,psp,hoeffding
48,16800,0.1,0.1221461296081543,ps,rademacher
49,2400,0.1,0.009386062622070312,ps,hoeffding
50,91200,0.1,0.41718602180480957,psp,rademacher
51,2400,0.1,0.011615991592407227,psp,hoeffding
52,151200,0.1,1.3124067783355713,ps,rademacher
53,2400,0.1,0.011942148208618164,ps,hoeffding
54,23400,0.1,0.1188051700592041,psp,rademacher
55,2400,0.1,0.009742975234985352,psp,hoeffding
56,7200,0.1,0.03754377365112305,ps,rademacher
57,2400,0.1,0.012881994247436523,ps,hoeffding
58,47400,0.1,0.19329500198364258,psp,rademacher
59,2400,0.1,0.006443977355957031,psp,hoeffding
60,74400,0.1,0.609062910079956,ps,rademacher
61,2400,0.1,0.007918834686279297,ps,hoeffding
62,46200,0.1,0.22180509567260742,psp,rademacher
63,2400,0.1,0.01415109634399414,psp,hoeffding
64,36000,0.1,0.37481689453125,ps,rademacher
65,2400,0.1,0.014788150787353516,ps,hoeffding
66,46000,0.1,0.28565073013305664,psp,rademacher
67,2400,0.1,0.014323949813842773,psp,hoeffding
68,151200,0.1,1.7190680503845215,ps,rademacher
69,2400,0.1,0.013586997985839844,ps,hoeffding
70,7400,0.1,0.046830177307128906,psp,rademacher
71,2400,0.1,0.013919830322265625,psp,hoeffding
72,74400,0.1,0.8296339511871338,ps,rademacher
73,2400,0.1,0.014007091522216797,ps,hoeffding
74,46400,0.1,0.28879380226135254,psp,rademacher
75,2400,0.1,0.013852834701538086,psp,hoeffding
76,16800,0.1,0.15469098091125488,ps,rademacher
77,2400,0.1,0.013510942459106445,ps,hoeffding
78,12800,0.1,0.08838295936584473,psp,rademacher
79,2400,0.1,0.013653039932250977,psp,hoeffding
80,74400,0.1,0.7998437881469727,ps,rademacher
81,2400,0.1,0.014513969421386719,ps,hoeffding
82,12500,0.1,0.07661628723144531,psp,rademacher
83,2400,0.1,0.013426780700683594,psp,hoeffding
84,36000,0.1,0.3800358772277832,ps,rademacher
85,2400,0.1,0.014751911163330078,ps,hoeffding
86,6600,0.1,0.031468868255615234,psp,rademacher
87,2400,0.1,0.01637101173400879,psp,hoeffding
88,74400,0.1,0.7901980876922607,ps,rademacher
89,2400,0.1,0.01597118377685547,ps,hoeffding
90,23400,0.1,0.14701581001281738,psp,rademacher
91,2400,0.1,0.014554977416992188,psp,hoeffding
92,74400,0.1,0.8224489688873291,ps,rademacher
93,2400,0.1,0.013891935348510742,ps,hoeffding
94,23700,0.1,0.14747214317321777,psp,rademacher
95,2400,0.1,0.014101028442382812,psp,hoeffding
96,151200,0.1,1.7756330966949463,ps,rademacher
97,2400,0.1,0.014573097229003906,ps,hoeffding
98,90600,0.1,0.5763802528381348,psp,rademacher
99,2400,0.1,0.013547182083129883,psp,hoeffding
100,7200,0.1,0.0651388168334961,ps,rademacher
101,2400,0.1,0.013375997543334961,ps,hoeffding
102,180200,0.1,1.123434066772461,psp,rademacher
103,2400,0.1,0.011654853820800781,psp,hoeffding
104,7200,0.1,0.07416415214538574,ps,rademacher
105,2400,0.1,0.016576051712036133,ps,hoeffding
106,12400,0.1,0.0900430679321289,psp,rademacher
107,2400,0.1,0.014189004898071289,psp,hoeffding
108,16800,0.1,0.1612391471862793,ps,rademacher
109,2400,0.1,0.014520883560180664,ps,hoeffding
110,25600,0.1,0.24491119384765625,psp,rademacher
111,2400,0.1,0.01565098762512207,psp,hoeffding
112,74400,0.1,0.9082808494567871,ps,rademacher
113,2400,0.1,0.014149188995361328,ps,hoeffding
114,2400,0.1,0.015524148941040039,psp,rademacher
115,2400,0.1,0.013999700546264648,psp,hoeffding
116,74400,0.1,0.9342410564422607,ps,rademacher
117,2400,0.1,0.014209985733032227,ps,hoeffding
118,45800,0.1,0.3590240478515625,psp,rademacher
119,2400,0.1,0.014136075973510742,psp,hoeffding
120,7200,0.1,0.07097101211547852,ps,rademacher
121,2400,0.1,0.015581846237182617,ps,hoeffding
122,24000,0.1,0.16724872589111328,psp,rademacher
123,2400,0.1,0.014218807220458984,psp,hoeffding
124,151200,0.1,2.027672052383423,ps,rademacher
125,2400,0.1,0.013601064682006836,ps,hoeffding
126,46000,0.1,0.2685539722442627,psp,rademacher
127,2400,0.1,0.013211965560913086,psp,hoeffding
128,16800,0.1,0.16198110580444336,ps,rademacher
129,2400,0.1,0.013335943222045898,ps,hoeffding
130,45800,0.1,0.2893402576446533,psp,rademacher
131,2400,0.1,0.013888835906982422,psp,hoeffding
132,16800,0.1,0.15942788124084473,ps,rademacher
133,2400,0.1,0.013942956924438477,ps,hoeffding
134,23400,0.1,0.1392979621887207,psp,rademacher
135,2400,0.1,0.012771844863891602,psp,hoeffding
136,16800,0.1,0.15878605842590332,ps,rademacher
137,2400,0.1,0.01373600959777832,ps,hoeffding
138,6600,0.1,0.04157710075378418,psp,rademacher
139,2400,0.1,0.013802051544189453,psp,hoeffding
140,16800,0.1,0.16043901443481445,ps,rademacher
141,2400,0.1,0.013726949691772461,ps,hoeffding
142,23400,0.1,0.14252018928527832,psp,rademacher
143,2400,0.1,0.013751029968261719,psp,hoeffding
144,36000,0.1,0.3767738342285156,ps,rademacher
145,2400,0.1,0.017620086669921875,ps,hoeffding
146,47400,0.1,0.2758970260620117,psp,rademacher
147,2400,0.1,0.013460159301757812,psp,hoeffding
148,74400,0.1,0.801494836807251,ps,rademacher
149,2400,0.1,0.013685941696166992,ps,hoeffding
150,24600,0.1,0.13829398155212402,psp,rademacher
151,2400,0.1,0.013628244400024414,psp,hoeffding
152,16800,0.1,0.17497873306274414,ps,rademacher
153,2400,0.1,0.014554977416992188,ps,hoeffding
154,45800,0.1,0.3516218662261963,psp,rademacher
155,2400,0.1,0.01749396324157715,psp,hoeffding
156,74400,0.1,0.8621492385864258,ps,rademacher
157,2400,0.1,0.014707088470458984,ps,hoeffding
158,13300,0.1,0.08229398727416992,psp,rademacher
159,2400,0.1,0.018287181854248047,psp,hoeffding
160,16800,0.1,0.17599701881408691,ps,rademacher
161,2400,0.1,0.013296127319335938,ps,hoeffding
162,24000,0.1,0.1420753002166748,psp,rademacher
163,2400,0.1,0.014042139053344727,psp,hoeffding
164,36000,0.1,0.46166491508483887,ps,rademacher
165,2400,0.1,0.021171092987060547,ps,hoeffding
166,24100,0.1,0.19250988960266113,psp,rademacher
167,2400,0.1,0.013531923294067383,psp,hoeffding
168,7200,0.1,0.059678077697753906,ps,rademacher
169,2400,0.1,0.013557910919189453,ps,hoeffding
170,7000,0.1,0.04131603240966797,psp,rademacher
171,2400,0.1,0.01282811164855957,psp,hoeffding
172,74400,0.1,0.9913740158081055,ps,rademacher
173,2400,0.1,0.018927812576293945,ps,hoeffding
174,7200,0.1,0.06020402908325195,psp,rademacher
175,2400,0.1,0.013692855834960938,psp,hoeffding
176,36000,0.1,0.46433019638061523,ps,rademacher
177,2400,0.1,0.021638154983520508,ps,hoeffding
178,45800,0.1,0.3161628246307373,psp,rademacher
179,2400,0.1,0.014269113540649414,psp,hoeffding
180,16800,0.1,0.1625838279724121,ps,rademacher
181,2400,0.1,0.014883041381835938,ps,hoeffding
182,12600,0.1,0.09395599365234375,psp,rademacher
183,2400,0.1,0.03704500198364258,psp,hoeffding
184,7200,0.1,0.10176992416381836,ps,rademacher
185,2400,0.1,0.017678022384643555,ps,hoeffding
186,23400,0.1,0.1858229637145996,psp,rademacher
187,2400,0.1,0.014468193054199219,psp,hoeffding
188,16800,0.1,0.19155001640319824,ps,rademacher
189,2400,0.1,0.01535797119140625,ps,hoeffding
190,23400,0.1,0.19539999961853027,psp,rademacher
191,2400,0.1,0.024724960327148438,psp,hoeffding
192,7200,0.1,0.06578588485717773,ps,rademacher
193,2400,0.1,0.013942956924438477,ps,hoeffding
194,27000,0.1,0.23031187057495117,psp,rademacher
195,2400,0.1,0.015950918197631836,psp,hoeffding
196,74400,0.1,0.8559520244598389,ps,rademacher
197,2400,0.1,0.015130758285522461,ps,hoeffding
198,46000,0.1,0.30522799491882324,psp,rademacher
199,2400,0.1,0.0179598331451416,psp,hoeffding
200,151200,0.1,1.8884589672088623,ps,rademacher
201,2400,0.1,0.017969369888305664,ps,hoeffding
202,2400,0.1,0.01575493812561035,psp,rademacher
203,2400,0.1,0.01498103141784668,psp,hoeffding
204,74400,0.1,0.9432950019836426,ps,rademacher
205,2400,0.1,0.024237871170043945,ps,hoeffding
206,12200,0.1,0.08937597274780273,psp,rademacher
207,2400,0.1,0.01704716682434082,psp,hoeffding
208,74400,0.1,1.1068179607391357,ps,rademacher
209,2400,0.1,0.016952037811279297,ps,hoeffding
210,91200,0.1,0.7584807872772217,psp,rademacher
211,2400,0.1,0.021831035614013672,psp,hoeffding
212,16800,0.1,0.22422504425048828,ps,rademacher
213,2400,0.1,0.015508174896240234,ps,hoeffding
214,90800,0.1,0.7563238143920898,psp,rademacher
215,2400,0.1,0.03586411476135254,psp,hoeffding
216,74400,0.1,1.1048269271850586,ps,rademacher
217,2400,0.1,0.016666173934936523,ps,hoeffding
218,46300,0.1,0.36614990234375,psp,rademacher
219,2400,0.1,0.019544124603271484,psp,hoeffding
220,151200,0.1,2.1611292362213135,ps,rademacher
221,2400,0.1,0.013175249099731445,ps,hoeffding
222,46400,0.1,0.35375404357910156,psp,rademacher
223,2400,0.1,0.01858806610107422,psp,hoeffding
224,74400,0.1,1.035309076309204,ps,rademacher
225,2400,0.1,0.015578985214233398,ps,hoeffding
226,91200,0.1,0.6766948699951172,psp,rademacher
227,2400,0.1,0.014907121658325195,psp,hoeffding
228,7200,0.1,0.0817418098449707,ps,rademacher
229,2400,0.1,0.01429605484008789,ps,hoeffding
230,24000,0.1,0.18380284309387207,psp,rademacher
231,2400,0.1,0.016094207763671875,psp,hoeffding
232,7200,0.1,0.08051204681396484,ps,rademacher
233,2400,0.1,0.013467788696289062,ps,hoeffding
234,12600,0.1,0.09867000579833984,psp,rademacher
235,2400,0.1,0.015208959579467773,psp,hoeffding
236,304800,0.1,4.484785079956055,ps,rademacher
237,2400,0.1,0.014315128326416016,ps,hoeffding
238,12200,0.1,0.0923771858215332,psp,rademacher
239,2400,0.1,0.018980026245117188,psp,hoeffding
240,7200,0.1,0.07844305038452148,ps,rademacher
241,2400,0.1,0.015386104583740234,ps,hoeffding
242,23600,0.1,0.1699199676513672,psp,rademacher
243,2400,0.1,0.015280961990356445,psp,hoeffding
244,36000,0.1,0.46185302734375,ps,rademacher
245,2400,0.1,0.018115997314453125,ps,hoeffding
246,12200,0.1,0.08877110481262207,psp,rademacher
247,2400,0.1,0.017393827438354492,psp,hoeffding
248,36000,0.1,0.44425320625305176,ps,rademacher
249,2400,0.1,0.013365983963012695,ps,hoeffding
250,46100,0.1,0.35152411460876465,psp,rademacher
251,2400,0.1,0.019224166870117188,psp,hoeffding
252,16800,0.1,0.1971592903137207,ps,rademacher
253,2400,0.1,0.017613887786865234,ps,hoeffding
254,24000,0.1,0.1750168800354004,psp,rademacher
255,2400,0.1,0.014300107955932617,psp,hoeffding
256,16800,0.1,0.19425082206726074,ps,rademacher
257,2400,0.1,0.02148294448852539,ps,hoeffding
258,45800,0.1,0.3349621295928955,psp,rademacher
259,2400,0.1,0.01359701156616211,psp,hoeffding
260,74400,0.1,0.9793820381164551,ps,rademacher
261,2400,0.1,0.020145177841186523,ps,hoeffding
262,12200,0.1,0.09862303733825684,psp,rademacher
