,m,eps,time,algo,type
0,56700,0.1,0.5192968845367432,ps,rademacher
1,8100,0.1,0.0453488826751709,ps,hoeffding
2,36000,0.1,0.21916794776916504,psp,rademacher
3,8100,0.1,0.04749274253845215,psp,hoeffding
4,510300,0.1,5.4860680103302,ps,rademacher
5,8100,0.1,0.05479025840759277,ps,hoeffding
6,230300,0.1,1.4240820407867432,psp,rademacher
7,8100,0.1,0.04631924629211426,psp,hoeffding
8,121500,0.1,1.2615139484405518,ps,rademacher
9,8100,0.1,0.04548311233520508,ps,hoeffding
10,18200,0.1,0.1519460678100586,psp,rademacher
11,8100,0.1,0.061985015869140625,psp,hoeffding
12,56700,0.1,0.6086649894714355,ps,rademacher
13,8100,0.1,0.05450439453125,ps,hoeffding
14,117700,0.1,0.7507143020629883,psp,rademacher
15,8100,0.1,0.048094987869262695,psp,hoeffding
16,56700,0.1,0.5943500995635986,ps,rademacher
17,8100,0.1,0.046025991439819336,ps,hoeffding
18,109400,0.1,0.7953119277954102,psp,rademacher
19,8100,0.1,0.05394315719604492,psp,hoeffding
20,510300,0.1,5.881121873855591,ps,rademacher
21,8100,0.1,0.06784987449645996,ps,hoeffding
22,8100,0.1,0.06020808219909668,psp,rademacher
23,8100,0.1,0.04538989067077637,psp,hoeffding
24,56700,0.1,0.5208139419555664,ps,rademacher
25,8100,0.1,0.0467987060546875,ps,hoeffding
26,62800,0.1,0.4405369758605957,psp,rademacher
27,8100,0.1,0.04471397399902344,psp,hoeffding
28,121500,0.1,1.4432530403137207,ps,rademacher
29,8100,0.1,0.059445858001708984,ps,hoeffding
30,56400,0.1,0.4542422294616699,psp,rademacher
31,8100,0.1,0.060853004455566406,psp,hoeffding
32,251100,0.1,3.093273162841797,ps,rademacher
33,8100,0.1,0.04715704917907715,ps,hoeffding
34,56400,0.1,0.34837889671325684,psp,rademacher
35,8100,0.1,0.08413505554199219,psp,hoeffding
36,251100,0.1,2.944443941116333,ps,rademacher
37,8100,0.1,0.04914498329162598,ps,hoeffding
38,58800,0.1,0.415208101272583,psp,rademacher
39,8100,0.1,0.05710601806640625,psp,hoeffding
40,251100,0.1,3.716449022293091,ps,rademacher
