,m,eps,time,algo
0,97200,0.1,0.41191720962524414,ps
1,488400,0.1,1.3942761421203613,psp
2,2041200,0.1,11.318053245544434,ps
3,1723000,0.1,4.815430164337158,psp
4,97200,0.1,0.39655303955078125,ps
5,467300,0.1,1.335935115814209,psp
6,486000,0.1,2.3811099529266357,ps
7,140300,0.1,0.41389894485473633,psp
8,1004400,0.1,5.14880108833313,ps
9,455000,0.1,1.2790310382843018,psp
10,486000,0.1,2.4511330127716064,ps
11,494100,0.1,1.4151520729064941,psp
12,226800,0.1,1.0443010330200195,ps
13,75000,0.1,0.2298140525817871,psp
14,486000,0.1,2.364729881286621,ps
15,268700,0.1,0.7619419097900391,psp
16,226800,0.1,1.0348279476165771,ps
17,146100,0.1,0.42576098442077637,psp
18,1004400,0.1,5.141849994659424,ps
19,236600,0.1,0.680891752243042,psp
20,486000,0.1,2.3767781257629395,ps
21,133700,0.1,0.38457703590393066,psp
22,226800,0.1,1.1004619598388672,ps
23,1748500,0.1,4.874045133590698,psp
24,226800,0.1,1.0637779235839844,ps
25,272900,0.1,0.7934551239013672,psp
26,2041200,0.1,10.86118197441101,ps
27,911000,0.1,2.565251111984253,psp
28,2041200,0.1,10.8086256980896,ps
29,274300,0.1,0.7911558151245117,psp
30,1004400,0.1,5.158154010772705,ps
31,444400,0.1,1.2838270664215088,psp
32,2041200,0.1,10.801541805267334,ps
33,145800,0.1,0.4254767894744873,psp
34,486000,0.1,2.3819048404693604,ps
35,957500,0.1,2.7124860286712646,psp
36,1004400,0.1,5.138537883758545,ps
37,894100,0.1,2.535494327545166,psp
38,1004400,0.1,5.183038234710693,ps
39,891700,0.1,2.489549160003662,psp
40,486000,0.1,2.3906798362731934,ps
41,139000,0.1,0.4105651378631592,psp
42,486000,0.1,2.368497133255005,ps
43,272100,0.1,0.7892968654632568,psp
44,226800,0.1,1.0572288036346436,ps
45,137400,0.1,0.4042527675628662,psp
46,226800,0.1,1.0411968231201172,ps
47,151700,0.1,0.4398362636566162,psp
48,226800,0.1,1.0293970108032227,ps
